organ,subgroup,n
Heart,No durable LVAD,72421
Heart,Durable LVAD,14533
Kidney,Not on dialysis,538557
Kidney,Dialysis <1 year,60942
Kidney,Dialysis 1 to <3 years,45495
Kidney,Dialysis 3 to <5 years,12655
Kidney,Dialysis ≥5 years,12007
