WL_ORG,n,complete_environment,adverse_events,favorable_exits,adverse_vs_favorable_complete,mean_tmean_c,mean_rhmean_pct,mean_pm25,mean_o3,mean_no2
HR,74906,73630,9974,55946,64763,14.869650292139182,63.68466636672483,8.436978948715485,38.73973458377689,8.515619734471734
KI,693752,678254,120198,357606,467207,15.10840429314138,63.07975417502879,8.539602646559059,38.538232644333405,8.95081171173885
LI,222408,217649,42572,149315,187707,14.878543656366189,62.990818088501904,8.51266731726541,38.87074715051985,8.786479565482317
LU,47285,46695,5712,38198,43365,14.745694250034061,63.686479045401626,8.361020221628063,38.92493751672225,8.164226717786713
