organ,organ_label,exposure,label,x_label,exposure_value,reference_value,hazard_ratio,conf_low,conf_high,n,adverse_events,concordance
HR,Heart,Mean temperature,Mean temperature,Waitlist-period mean temperature (C),-3.6699031928900414,15.052055114404537,6.839845133061688,5.676277101765813,8.241930512820442,73624,9823,0.6882337346049713
HR,Heart,Mean temperature,Mean temperature,Waitlist-period mean temperature (C),-3.3934800983626308,15.052055114404537,6.465711714949061,5.377286339677025,7.77444706121796,73624,9823,0.6882337346049713
HR,Heart,Mean temperature,Mean temperature,Waitlist-period mean temperature (C),-3.1170570038352197,15.052055114404537,6.115617569435654,5.09659567579519,7.338384410836089,73624,9823,0.6882337346049713
HR,Heart,Mean temperature,Mean temperature,Waitlist-period mean temperature (C),-2.8406339093078095,15.052055114404537,5.787929099181301,4.833036421255641,6.931485785999148,73624,9823,0.6882337346049713
HR,Heart,Mean temperature,Mean temperature,Waitlist-period mean temperature (C),-2.564210814780399,15.052055114404537,5.481128338449969,4.5855172272890625,6.551663939625077,73624,9823,0.6882337346049713
HR,Heart,Mean temperature,Mean temperature,Waitlist-period mean temperature (C),-2.2877877202529877,15.052055114404537,5.193804651647621,4.3530189106727395,6.196988185219603,73624,9823,0.6882337346049713
HR,Heart,Mean temperature,Mean temperature,Waitlist-period mean temperature (C),-2.0113646257255775,15.052055114404537,4.924647028058805,4.134589623297144,5.865672427153354,73624,9823,0.6882337346049713
HR,Heart,Mean temperature,Mean temperature,Waitlist-period mean temperature (C),-1.7349415311981666,15.052055114404537,4.672436930923034,3.9293403440306527,5.556064113056415,73624,9823,0.6882337346049713
HR,Heart,Mean temperature,Mean temperature,Waitlist-period mean temperature (C),-1.458518436670756,15.052055114404537,4.436041661793675,3.7364406723390964,5.266634037802087,73624,9823,0.6882337346049713
HR,Heart,Mean temperature,Mean temperature,Waitlist-period mean temperature (C),-1.1820953421433453,15.052055114404537,4.214408203754192,3.555114904322123,4.995966933804995,73624,9823,0.6882337346049713
HR,Heart,Mean temperature,Mean temperature,Waitlist-period mean temperature (C),-0.9056722476159346,15.052055114404537,4.006557509537399,3.384638372968251,4.7427527872506055,73624,9823,0.6882337346049713
HR,Heart,Mean temperature,Mean temperature,Waitlist-period mean temperature (C),-0.6292491530885241,15.052055114404537,3.811579202910984,3.2243340355080443,4.505778824424559,73624,9823,0.6882337346049713
HR,Heart,Mean temperature,Mean temperature,Waitlist-period mean temperature (C),-0.3528260585611137,15.052055114404537,3.628626663864484,3.073569291763455,4.283922116541512,73624,9823,0.6882337346049713
HR,Heart,Mean temperature,Mean temperature,Waitlist-period mean temperature (C),-0.07640296403370272,15.052055114404537,3.456912470167504,2.9317530183548555,4.076142755403535,73624,9823,0.6882337346049713
HR,Heart,Mean temperature,Mean temperature,Waitlist-period mean temperature (C),0.2000201304937077,15.052055114404537,3.295704169772723,2.798332804538249,3.8814775558654793,73624,9823,0.6882337346049713
