organ,model,endpoint,term,exposure,n,adverse_events,favorable_exits,odds_ratio,conf_low,conf_high,p_value
HR,temperature_humidity,death_or_deterioration_delist_vs_transplant_or_improvement,tmean_waitlist_5c,Mean temperature per 5 C,64763,9823,54940,0.9939008961686793,0.9792797142802664,1.0087503697141489,0.41860275428754334
HR,temperature_humidity,death_or_deterioration_delist_vs_transplant_or_improvement,temp_range_waitlist_5c,Diurnal temperature range per 5 C,64763,9823,54940,1.0648237227361945,1.0020912576513572,1.1315726153114007,0.042745461597893136
HR,temperature_humidity,death_or_deterioration_delist_vs_transplant_or_improvement,rhmean_waitlist_10pct,Mean relative humidity per 10 pct,64763,9823,54940,1.104218496879851,1.070917059173977,1.1388432713070793,2.6229555522612147e-10
HR,pollution,death_or_deterioration_delist_vs_transplant_or_improvement,pm25_waitlist_5ug,PM2.5 per 5 ug/m3,64763,9823,54940,0.9226010476923128,0.8756715414083075,0.971504587288328,0.002362042502863047
HR,pollution,death_or_deterioration_delist_vs_transplant_or_improvement,o3_waitlist_10ppb,Ozone per 10 ppb,64763,9823,54940,0.9484630905741394,0.9202190022807031,0.977531602229078,5.967350736788624e-4
HR,pollution,death_or_deterioration_delist_vs_transplant_or_improvement,no2_waitlist_10unit,NO2 per 10 units,64763,9823,54940,0.9070594791388563,0.8652770312728681,0.950676464374306,4.849772695333726e-5
HR,combined_environment,death_or_deterioration_delist_vs_transplant_or_improvement,tmean_waitlist_5c,Mean temperature per 5 C,64763,9823,54940,1.012138775224521,0.9944305862401962,1.030164213940999,0.18031216516953305
HR,combined_environment,death_or_deterioration_delist_vs_transplant_or_improvement,temp_range_waitlist_5c,Diurnal temperature range per 5 C,64763,9823,54940,1.0191682546856695,0.947400246568574,1.0964256255621645,0.610408582965281
HR,combined_environment,death_or_deterioration_delist_vs_transplant_or_improvement,rhmean_waitlist_10pct,Mean relative humidity per 10 pct,64763,9823,54940,1.0659887210381795,1.0287162182196967,1.104921556083996,4.557784703167578e-4
HR,combined_environment,death_or_deterioration_delist_vs_transplant_or_improvement,pm25_waitlist_5ug,PM2.5 per 5 ug/m3,64763,9823,54940,0.9068603017997341,0.8599173395014925,0.9558149089946102,2.894275764668281e-4
HR,combined_environment,death_or_deterioration_delist_vs_transplant_or_improvement,o3_waitlist_10ppb,Ozone per 10 ppb,64763,9823,54940,0.9636276581488746,0.9241753644731862,1.0047698157469518,0.08236919483861097
HR,combined_environment,death_or_deterioration_delist_vs_transplant_or_improvement,no2_waitlist_10unit,NO2 per 10 units,64763,9823,54940,0.9390135717920145,0.88880654392275,0.9919047288705573,0.024596126381671034
KI,temperature_humidity,death_or_deterioration_delist_vs_transplant_or_improvement,tmean_waitlist_5c,Mean temperature per 5 C,467207,117219,349988,1.0337550499058392,1.026780794105749,1.0407768430668871,7.117130306060325e-22
KI,temperature_humidity,death_or_deterioration_delist_vs_transplant_or_improvement,temp_range_waitlist_5c,Diurnal temperature range per 5 C,467207,117219,349988,1.138755454116678,1.1158799038834637,1.162110114576859,4.110324423089586e-36
KI,temperature_humidity,death_or_deterioration_delist_vs_transplant_or_improvement,rhmean_waitlist_10pct,Mean relative humidity per 10 pct,467207,117219,349988,1.019260903018836,1.0088597645935837,1.0297847877348136,2.6959956676408947e-4
KI,pollution,death_or_deterioration_delist_vs_transplant_or_improvement,pm25_waitlist_5ug,PM2.5 per 5 ug/m3,467207,117219,349988,1.003914436345924,0.9819627269307374,1.02633072626485,0.7289299647714991
