organ,organ_label,model,endpoint,term,exposure,source_n,source_adverse_events,n,adverse_events,sampled,finegray_max_n,subdistribution_hazard_ratio,conf_low,conf_high,p_value,center_adjustment,variance_estimator
HR,Heart,reduced_finegray_heat_humidity_month_day_weighted,death_or_deterioration_delist_subdistribution,tmax_month_weighted_5c,Month/day-weighted Tmax per 5 C,73624,9823,9998,1334,TRUE,10000,1.002301263005359,0.9668654518561132,1.039035803682477,0.9003921460603275,not_included_reduced_sensitivity,cmprsk_crr_model_based
HR,Heart,reduced_finegray_heat_humidity_month_day_weighted,death_or_deterioration_delist_subdistribution,rmax_month_weighted_10pct,Month/day-weighted maximum relative humidity per 10 pct,73624,9823,9998,1334,TRUE,10000,1.0540064299336769,0.9953920806255326,1.1160723256341312,0.07157865509545902,not_included_reduced_sensitivity,cmprsk_crr_model_based
KI,Kidney,reduced_finegray_heat_humidity_month_day_weighted,death_or_deterioration_delist_subdistribution,tmax_month_weighted_5c,Month/day-weighted Tmax per 5 C,678254,117219,9999,1728,TRUE,10000,1.0239616454214415,0.9813529912713196,1.068420293839307,0.27484700371622023,not_included_reduced_sensitivity,cmprsk_crr_model_based
KI,Kidney,reduced_finegray_heat_humidity_month_day_weighted,death_or_deterioration_delist_subdistribution,rmax_month_weighted_10pct,Month/day-weighted maximum relative humidity per 10 pct,678254,117219,9999,1728,TRUE,10000,1.083335118295407,1.0243096106533365,1.1457619515876214,0.00510588831026731,not_included_reduced_sensitivity,cmprsk_crr_model_based
LI,Liver,reduced_finegray_heat_humidity_month_day_weighted,death_or_deterioration_delist_subdistribution,tmax_month_weighted_5c,Month/day-weighted Tmax per 5 C,217632,41645,9998,1913,TRUE,10000,0.9956468558095266,0.9667810612344097,1.0253745146989786,0.7713268650059992,not_included_reduced_sensitivity,cmprsk_crr_model_based
LI,Liver,reduced_finegray_heat_humidity_month_day_weighted,death_or_deterioration_delist_subdistribution,rmax_month_weighted_10pct,Month/day-weighted maximum relative humidity per 10 pct,217632,41645,9998,1913,TRUE,10000,0.948509594535486,0.9104519288360976,0.9881581030598636,0.0114009503624464,not_included_reduced_sensitivity,cmprsk_crr_model_based
LU,Lung,reduced_finegray_heat_humidity_month_day_weighted,death_or_deterioration_delist_subdistribution,tmax_month_weighted_5c,Month/day-weighted Tmax per 5 C,46695,5638,9998,1207,TRUE,10000,0.9509951347905924,0.9204744017835697,0.9825278624185202,0.00253513804083819,not_included_reduced_sensitivity,cmprsk_crr_model_based
LU,Lung,reduced_finegray_heat_humidity_month_day_weighted,death_or_deterioration_delist_subdistribution,rmax_month_weighted_10pct,Month/day-weighted maximum relative humidity per 10 pct,46695,5638,9998,1207,TRUE,10000,1.0499459308579384,0.9942989732285716,1.1087072273097116,0.07939290677205815,not_included_reduced_sensitivity,cmprsk_crr_model_based
