pollutant,mapped_zctas,years_required,min,p01,median,mean,p99,max
pm25,33300,19,4.248894984394737,5.283804230680802,8.413981591686005,8.392265348199713,13.678494577105758,22.164557601616888
o3,33300,19,24.942626915577087,31.295605699492274,38.33297813941539,38.89152156921922,50.5836557652762,57.22373978667118
no2,33300,21,0.41715058659615106,1.2625034945901268,4.521026932227326,5.755586231161026,19.590331275700976,30.142136701219822
