time_days,event,cumulative_incidence,quartile,organ,pollutant,ps_n,full_n,min_value,max_value,quartile_label,years_since_listing
0,Death/delisted too sick,0,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),0
0,Transplant,0,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),0
30.4375,Death/delisted too sick,0.03323876471494732,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),0.08333333333333333
30.4375,Transplant,0.241298610396385,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),0.08333333333333333
60.875,Death/delisted too sick,0.050014382003962264,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),0.16666666666666666
60.875,Transplant,0.3395855095111324,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),0.16666666666666666
91.3125,Death/delisted too sick,0.059843771335447646,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),0.25
91.3125,Transplant,0.4027897232003671,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),0.25
121.75,Death/delisted too sick,0.06650836510808117,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),0.3333333333333333
121.75,Transplant,0.4526146470590057,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),0.3333333333333333
152.1875,Death/delisted too sick,0.07287337780565539,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),0.4166666666666667
152.1875,Transplant,0.488475948408474,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),0.4166666666666667
182.625,Death/delisted too sick,0.07759934392172928,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),0.5
182.625,Transplant,0.5163425887214956,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),0.5
213.0625,Death/delisted too sick,0.08070328053585275,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),0.5833333333333334
