time_days,event,cumulative_incidence,quartile,organ,pollutant,ps_n,full_n,min_value,max_value,quartile_label,years_since_listing
578.3125,Death/delisted too sick,0.11032738505386706,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),1.5833333333333333
578.3125,Transplant,0.6855756859632096,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),1.5833333333333333
608.75,Death/delisted too sick,0.11205438922947525,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),1.6666666666666667
608.75,Transplant,0.6923965130753432,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),1.6666666666666667
639.1875,Death/delisted too sick,0.11400809868713774,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),1.75
639.1875,Transplant,0.6979321955882786,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),1.75
669.625,Death/delisted too sick,0.1147642284691803,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),1.8333333333333333
669.625,Transplant,0.7036410362294974,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),1.8333333333333333
700.0625,Death/delisted too sick,0.11553026198590154,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),1.9166666666666667
700.0625,Transplant,0.7097892169413834,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),1.9166666666666667
730.5,Death/delisted too sick,0.11688020691965086,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2
730.5,Transplant,0.7133072792347644,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2
760.9375,Death/delisted too sick,0.11888248118221836,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2.0833333333333335
760.9375,Transplant,0.7183134941531152,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2.0833333333333335
791.375,Death/delisted too sick,0.11966623832425313,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2.1666666666666665
791.375,Transplant,0.7229301234935978,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2.1666666666666665
821.8125,Death/delisted too sick,0.12186921946882533,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2.25
821.8125,Transplant,0.727266916061062,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2.25
852.25,Death/delisted too sick,0.12367571200607366,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2.3333333333333335
852.25,Transplant,0.7306672591262734,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2.3333333333333335
882.6875,Death/delisted too sick,0.12454850129251395,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2.4166666666666665
882.6875,Transplant,0.7350461470223746,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2.4166666666666665
913.125,Death/delisted too sick,0.12498137706200121,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2.5
913.125,Transplant,0.7366659466542077,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2.5
943.5625,Death/delisted too sick,0.12636867622274423,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2.5833333333333335
943.5625,Transplant,0.7413340884884576,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2.5833333333333335
974,Death/delisted too sick,0.12769633502937627,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2.6666666666666665
974,Transplant,0.7447160327417205,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2.6666666666666665
1004.4375,Death/delisted too sick,0.12821722089677473,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2.75
1004.4375,Transplant,0.7485837526673553,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2.75
1034.875,Death/delisted too sick,0.12920175560718328,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2.8333333333333335
1034.875,Transplant,0.7502749234690955,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2.8333333333333335
1065.3125,Death/delisted too sick,0.13082451165104772,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2.9166666666666665
1065.3125,Transplant,0.7529900468946266,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),2.9166666666666665
1095.75,Death/delisted too sick,0.13207924935007964,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3
1095.75,Transplant,0.7561149710254775,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3
1126.1875,Death/delisted too sick,0.13267954341366817,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3.0833333333333335
1126.1875,Transplant,0.758300105709105,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3.0833333333333335
1156.625,Death/delisted too sick,0.1333525716423232,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3.1666666666666665
1156.625,Transplant,0.7603782519407417,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3.1666666666666665
1187.0625,Death/delisted too sick,0.13491972605900363,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3.25
1187.0625,Transplant,0.7621250876374467,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3.25
1217.5,Death/delisted too sick,0.13582059400683497,Q1,Heart,PM2.5,73497,73497,2.8250881745723935,7.007795178528987,Q1 (2.8-7 ug/m3),3.3333333333333335
