organ,exposure_quartile,min_value,max_value,pollutant,quartile_label
Heart,Q1,2.8250881745723935,7.007795178528987,PM2.5,Q1 (2.8-7 ug/m3)
Heart,Q2,7.007795178528987,8.162267424007158,PM2.5,Q2 (7-8.2 ug/m3)
Heart,Q3,8.162267424007158,9.70957664331776,PM2.5,Q3 (8.2-9.7 ug/m3)
Heart,Q4,9.709673126538597,30.00512942783934,PM2.5,Q4 (9.7-30 ug/m3)
Kidney,Q1,2.744432108248679,7.23297257301135,PM2.5,Q1 (2.7-7.2 ug/m3)
Kidney,Q2,7.23297257301135,8.547339428505397,PM2.5,Q2 (7.2-8.5 ug/m3)
Kidney,Q3,8.547339428505397,10.189393538668531,PM2.5,Q3 (8.5-10.2 ug/m3)
Kidney,Q4,10.189393538668531,41.53357354526488,PM2.5,Q4 (10.2-41.5 ug/m3)
Liver,Q1,2.4471264037170584,7.03757112979889,PM2.5,Q1 (2.4-7 ug/m3)
Liver,Q2,7.03760005562913,8.297231679161394,PM2.5,Q2 (7-8.3 ug/m3)
Liver,Q3,8.297231679161394,9.925577521324156,PM2.5,Q3 (8.3-9.9 ug/m3)
Liver,Q4,9.925577521324156,37.72952562685071,PM2.5,Q4 (9.9-37.7 ug/m3)
Lung,Q1,2.8250881745723935,6.970600318081374,PM2.5,Q1 (2.8-7 ug/m3)
Lung,Q2,6.970760820434406,8.136853721406725,PM2.5,Q2 (7-8.1 ug/m3)
Lung,Q3,8.136976174443783,9.638671137491864,PM2.5,Q3 (8.1-9.6 ug/m3)
Lung,Q4,9.638855246530069,34.762101420275265,PM2.5,Q4 (9.6-34.8 ug/m3)
