year,output,skipped
2024,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/gridmet_zcta_daily/gridmet_zcta_daily_2024.csv.gz,FALSE
2025,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/gridmet_zcta_daily/gridmet_zcta_daily_2025.csv.gz,FALSE
