year,variable,rows,zips,dates,missing_values,mean,p01,p50,p99
2012,tmax_c,12187800,33300,366,0,20.9743905689842,-3.24130434782603,22.35,41.2108695652175
2012,tmin_c,12187800,33300,366,0,7.57433454720624,-14,8.05000000000001,24.45
2012,rmax_pct,12187800,33300,366,0,83.3344601886066,34.35,86.7833333333334,100
2012,rmin_pct,12187800,33300,366,0,37.2478989731918,5.69259259259259,37.2333333333333,71.5947381916329
2012,pr,12187800,33300,366,0,2.46438716413026,0,0,34.1666666666667
2012,sph,12187800,33300,366,0,0.00695492583839159,0.00123,0.00614333333333333,0.01721
2012,srad,12187800,33300,366,0,193.447351857555,32.7,193.55,355.31875
2012,vs,12187800,33300,366,0,4.10126972838216,1.3,3.78125,9.7
2012,pet,12187800,33300,366,0,3.82931026241481,0.4,3.63333333333333,9.8
2012,etr,12187800,33300,366,0,5.27224034804531,0.625,5,14.1246753246753
2012,erc,12187800,33300,366,0,33.4358315107038,1,30.5,89
2012,tmean_c,12187800,33300,366,0,14.2743625580952,-8.21363636363631,15.2,32.3693551678736
2012,temp_range_c,12187800,33300,366,0,13.4000560217779,4.80000000000001,13.4,22.7
2012,rhmean_pct,12187800,33300,366,0,60.2911795808993,20.45,62.5325,84.9936183510638
