CANHX_STAT_CD,N
0,8250
1010,740
1020,695
1030,2264
1090,383
1110,173
1120,210
1130,135
1140,299
1150,340
1160,3
1999,1517
2010,71180
2020,72158
2030,69849
2090,25345
2110,4887
2120,20174
2130,12442
2140,25513
2150,2069
2160,9931
2999,70039
7010,100086
7099,4391
7999,32517
