file,era,rows,registrations,missing_score,min,p25,median,p75,max,registration_days,days_with_multiple_scores,days_with_range_over_one
ptr_lu_20180101_20181231.sas7bdat,Before CAS,1517062,4605,1517062,NA,NA,NA,NA,NA,0,0,0
ptr_lu_20190101_20191231.sas7bdat,Before CAS,1749604,4753,1749604,NA,NA,NA,NA,NA,0,0,0
ptr_lu_20200101_20201231.sas7bdat,Before CAS,1514418,4145,1514418,NA,NA,NA,NA,NA,0,0,0
ptr_lu_20210101_20211231_pub.sas7bdat,Before CAS,1541162,4112,1541162,NA,NA,NA,NA,NA,0,0,0
ptr_lu_20220101_20221231_pub.sas7bdat,Before CAS,1722650,4280,1722650,NA,NA,NA,NA,NA,0,0,0
ptr_lu_20230101_20231231_pub.sas7bdat,Before CAS,346544,1557,346544,NA,NA,NA,NA,NA,0,0,0
ptr_lu_20230101_20231231_pub.sas7bdat,CAS period,1364751,3783,2899,14.4155,27.5985,28.9064,30.588,87.1065,231314,202299,158848
ptr_lu_20240101_20241231_pub.sas7bdat,CAS period,1713739,4781,0,13.5987,28.6042,31.145,33.1545,75.3746,285577,251509,201825
ptr_lu_20250101_20251231_pub.sas7bdat,CAS period,1659476,5030,0,15.0197,28.396,30.9565,33.1255,82.6746,287856,249973,201103
