organ,model,exposure_window,exposure_form,pollutant,n_intervals,n_registrations,adverse_events,concordance,term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high
LI,single_pollutant_pm25_cumulative_linear,cumulative,linear,PM2.5,421374,216497,41324,0.7940927026320902,pm25_waitlist_cum_5ug,0.9780030537666141,0.020228183227016264,0.021809784632140967,-1.01983980431725,0.30780444198253865,0.9370778846741084,1.0207155550463827
LI,single_pollutant_ozone_cumulative_linear,cumulative,linear,Ozone,421374,216497,41324,0.7941037562050739,o3_waitlist_cum_10ppb,1.0330998656955366,0.01930500707405646,0.021215661778655408,1.5348972476832907,0.12480906971351893,0.9910224687315831,1.0769638087683069
LI,single_pollutant_no2_cumulative_linear,cumulative,linear,NO2,421374,216497,41324,0.7940903579347907,no2_waitlist_cum_10unit,0.9717383561454601,0.014960426498970439,0.01587887469678574,-1.8054611693293616,0.0710025466106302,0.9419616521559014,1.0024563427216853
LI,combined_pollutants_cumulative_linear,cumulative,linear,PM2.5,421374,216497,41324,0.7941134699510293,pm25_waitlist_cum_5ug,0.9939405960160558,0.02342200264081195,0.025322337584890386,-0.24001878382438668,0.8103156947923766,0.9458146055639135,1.0445153866277375
LI,combined_pollutants_cumulative_linear,cumulative,linear,Ozone,421374,216497,41324,0.7941134699510293,o3_waitlist_cum_10ppb,1.0240556041649405,0.02038270034670307,0.022444779799347874,1.059080387417681,0.2895631711175577,0.9799829220369644,1.0701103629865758
LI,combined_pollutants_cumulative_linear,cumulative,linear,NO2,421374,216497,41324,0.7941134699510293,no2_waitlist_cum_10unit,0.9795367246056093,0.018197267220767557,0.01942337626404621,-1.0644673100483473,0.2871170556819155,0.9429475040186289,1.0175457178283485
LI,single_pollutant_pm25_lagged_annual_linear,lagged_annual,linear,PM2.5,421374,216497,41324,0.7940772946212644,pm25_waitlist_5ug,0.9865336042592024,0.019755474173347966,0.02109686686163331,-0.6426494542373975,0.5204515857454206,0.9465731853787944,1.0281809873403327
LI,single_pollutant_ozone_lagged_annual_linear,lagged_annual,linear,Ozone,421374,216497,41324,0.7941014115077744,o3_waitlist_10ppb,1.0390288361348061,0.01906762100800494,0.020916108100738538,1.830477509800029,0.06717856678448074,0.9972953111762193,1.0825087716961006
LI,single_pollutant_no2_lagged_annual_linear,lagged_annual,linear,NO2,421374,216497,41324,0.794095717242904,no2_waitlist_10unit,0.9749762204727273,0.015580401855737658,0.016440550728798565,-1.541444563414933,0.12320862526097934,0.9440604443498006,1.0069044161065055
LI,combined_pollutants_lagged_annual_linear,lagged_annual,linear,PM2.5,421374,216497,41324,0.794100071680746,pm25_waitlist_5ug,0.9988504358688834,0.022600972247141624,0.02416729768355098,-0.04759429050953934,0.9620395823881324,0.9526408980584629,1.0473014493381851
LI,combined_pollutants_lagged_annual_linear,lagged_annual,linear,Ozone,421374,216497,41324,0.794100071680746,o3_waitlist_10ppb,1.0326111226665633,0.020020679641274703,0.022019021238947143,1.457406511049019,0.1450042008499727,0.9889951773281476,1.0781505866746082
