organ,pollutant,model,exposure_window,exposure_form,contrast,p25,p75,hazard_ratio,conf_low,conf_high,n_intervals,n_registrations,adverse_events,concordance,wald_chisq,df,p_value
LI,PM2.5,single_pollutant_pm25_cumulative_spline,cumulative,spline,p75_vs_p25,1.418166418148901,1.9992868747976096,0.9786454495958729,0.6933371451160106,1.3813581498715979,421374,216497,41324,0.7941231836969846,2.06576865255417,3,0.5588689790462149
LI,Ozone,single_pollutant_ozone_cumulative_spline,cumulative,spline,p75_vs_p25,3.642077856437832,4.0914002976953485,1.0395493975885828,0.9170625432079977,1.1783961279745363,421374,216497,41324,0.7940846636699201,7.412471085602904,3,0.059850613293977686
LI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,p75_vs_p25,0.508116940406361,1.2983450415254638,0.9732884886253286,0.8553711282170682,1.107461370674393,421374,216497,41324,0.7941422762321384,4.906737525664338,3,0.17875505460273966
LI,PM2.5,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,1.418166418148901,1.9992868747976096,0.9810631833006536,0.6941932816525371,1.3864798105461384,421374,216497,41324,0.7941188292591426,1.2580220625204412,3,0.7391244504344463
LI,Ozone,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,3.642077856437832,4.0914002976953485,1.03646350660135,0.913168638080273,1.1764054915144084,421374,216497,41324,0.7941188292591426,6.586560943087356,3,0.08631055611634528
LI,NO2,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,0.508116940406361,1.2983450415254638,0.9849986599526089,0.8643430740105784,1.1224968294204913,421374,216497,41324,0.7941188292591426,1.5307363337586066,3,0.6751947842410719
LI,PM2.5,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,1.3979009508151585,1.9507275202335443,0.9826712015368112,0.8373432200502758,1.1532220805129598,421374,216497,41324,0.7940893530645194,1.2196151249047902,3,0.7483037409383801
LI,Ozone,single_pollutant_ozone_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,3.637355819465481,4.083297200472483,1.0556228910178729,0.7838325470094326,1.4216552914171372,421374,216497,41324,0.7941024163780456,13.530623604745891,3,0.0036189438355366107
LI,NO2,single_pollutant_no2_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,0.49071150749528625,1.24663695335388,0.9763255148117093,0.677316862306123,1.4073346817719292,421374,216497,41324,0.7941305527456406,3.8062245057643276,3,0.2831629460261782
LI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,1.3979009508151585,1.9507275202335443,0.9809740088289395,0.8315651609801088,1.1572274202345267,421374,216497,41324,0.7941121301240011,1.0649506635814368,3,0.785541148425316
LI,Ozone,combined_pollutants_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,3.637355819465481,4.083297200472483,1.053984957793946,0.7821850984436888,1.4202319802131604,421374,216497,41324,0.7941121301240011,12.702153590530903,3,0.00532705618681409
LI,NO2,combined_pollutants_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,0.49071150749528625,1.24663695335388,0.9893572047932588,0.6858902795349856,1.4270907576353875,421374,216497,41324,0.7941121301240011,1.147971509711559,3,0.7655079796024404
LU,PM2.5,single_pollutant_pm25_cumulative_spline,cumulative,spline,p75_vs_p25,1.3936627246963371,1.924045735845963,1.0624028901260394,0.72387011354306,1.5592574963809713,60514,41045,4635,0.7971546758418062,4.021555445979045,3,0.2591459188428165
LU,Ozone,single_pollutant_ozone_cumulative_spline,cumulative,spline,p75_vs_p25,3.65204586982727,4.027564509842972,0.9976153929850915,0.7394991156757363,1.3458251013746996,60514,41045,4635,0.7976495148258399,6.534238556021393,3,0.08832195582532563
LU,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,p75_vs_p25,0.48000669988331846,1.15475099314138,0.9678635915764483,0.6559643763772678,1.4280652511539726,60514,41045,4635,0.797417559052074,4.3261176704888,3,0.22833454332435113
LU,PM2.5,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,1.3936627246963371,1.924045735845963,1.0882416424430246,0.73672340297697,1.6074823570985597,60514,41045,4635,0.7977036378397185,3.7119966355466687,3,0.2942896736053959
LU,Ozone,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,3.65204586982727,4.027564509842972,0.9776894951813132,0.722039155847107,1.323857219164856,60514,41045,4635,0.7977036378397185,7.197080498938439,3,0.0658744998770086
LU,NO2,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,0.48000669988331846,1.15475099314138,0.943334884955614,0.6233406053821177,1.4275994496278814,60514,41045,4635,0.7977036378397185,3.0103450908505245,3,0.3900329152536806
LU,PM2.5,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,1.3840508609401936,1.898354811687448,1.0620643864280888,0.7958021954129939,1.417413482170013,60514,41045,4635,0.7969845749410446,4.955744615729422,3,0.17506657218761754
LU,Ozone,single_pollutant_ozone_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,3.652171257681755,4.02039336776404,0.9986927833691515,0.7170472485223469,1.3909645112075752,60514,41045,4635,0.7974716820659528,8.172217271133372,3,0.042583401861861964
LU,NO2,single_pollutant_no2_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,0.4725105308270157,1.1320981135735126,0.9699495624066646,0.5694489714930598,1.6521272330094046,60514,41045,4635,0.797417559052074,3.8098880945697955,3,0.2827380725939152
LU,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,1.3840508609401936,1.898354811687448,1.0882370333665494,0.7965689996489548,1.4867008900827519,60514,41045,4635,0.7976572466849654,4.5162846041965485,3,0.2108423291524267
LU,Ozone,combined_pollutants_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,3.652171257681755,4.02039336776404,0.9867327331047486,0.700129063003134,1.3906600054624625,60514,41045,4635,0.7976572466849654,8.5231985729986,3,0.03635019431650231
LU,NO2,combined_pollutants_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,0.4725105308270157,1.1320981135735126,0.9402818262826772,0.5354902212620986,1.6510664018358319,60514,41045,4635,0.7976572466849654,2.3684419339780654,3,0.4995361799862717
