organ,pollutant,model,exposure_window,exposure_form,contrast,p25,p75,hazard_ratio,conf_low,conf_high,n_intervals,n_registrations,adverse_events,concordance,wald_chisq,df,p_value
HR,PM2.5,single_pollutant_pm25_cumulative_spline,cumulative,spline,p75_vs_p25,1.4068080361684165,1.934182680736889,1.0401419521319653,0.7934973585689956,1.3634516471938873,125985,72946,9705,0.7568339332602196,4.992843326830575,3,0.1723219417783983
HR,Ozone,single_pollutant_ozone_cumulative_spline,cumulative,spline,p75_vs_p25,3.635269698590944,4.004470092228481,1.061346943789991,0.7748948883470889,1.453690496649391,125985,72946,9705,0.7570296110562506,3.571528874528834,3,0.3116028725889927
HR,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,p75_vs_p25,0.497162420422423,1.20883533477783,0.9793531812397496,0.8198891360530525,1.1698321290384257,125985,72946,9705,0.7572116369130235,3.3428538206466536,3,0.3417225885804361
HR,PM2.5,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,1.4068080361684165,1.934182680736889,1.0530269004772832,0.8003825099090988,1.3854196454826708,125985,72946,9705,0.7571797823880883,3.493326957312651,3,0.3216286239248951
HR,Ozone,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,3.635269698590944,4.004470092228481,1.068068820500898,0.7730309787701917,1.4757118882105116,125985,72946,9705,0.7571797823880883,3.7329516945001333,3,0.2917818869886758
HR,NO2,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,0.497162420422423,1.20883533477783,0.9730923665956647,0.810180504644575,1.168762699791399,125985,72946,9705,0.7571797823880883,3.0873069747193522,3,0.37835906142917686
HR,PM2.5,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,1.3914728322620173,1.8993543167908982,1.0120307347031252,0.7762722386431353,1.3193904882827983,125985,72946,9705,0.7568157306745423,1.4576056055077022,3,0.6920889198158031
HR,Ozone,single_pollutant_ozone_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,3.631734973390638,3.9946492637599933,1.049092727702961,0.8431749110068195,1.3052992172229583,125985,72946,9705,0.7569613513599607,2.3267480161182292,3,0.5074160730448494
HR,NO2,single_pollutant_no2_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,0.48319614572490704,1.17559146881104,0.9696463502431932,0.7497400790198068,1.254053332415095,125985,72946,9705,0.7573299537199258,4.450329276041539,3,0.21676382428395133
HR,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,1.3914728322620173,1.8993543167908982,1.028343753380805,0.785318335707105,1.3465760660804533,125985,72946,9705,0.7571797823880883,0.5996625831155711,3,0.8965096128898266
HR,Ozone,combined_pollutants_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,3.631734973390638,3.9946492637599933,1.0527012950853474,0.841370794338835,1.3171125312772431,125985,72946,9705,0.7571797823880883,2.443899454269307,3,0.4855150704634183
HR,NO2,combined_pollutants_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,0.48319614572490704,1.17559146881104,0.9653000252458103,0.7405193088593375,1.2583117382514588,125985,72946,9705,0.7571797823880883,4.440956622107395,3,0.217617673207677
