step_file,step_dir,organ,pollutant,model,exposure_window,exposure_form,contrast,p25,p75,hazard_ratio,conf_low,conf_high,n_intervals,n_registrations,adverse_events,concordance,wald_chisq,df,p_value
hr_single_pollutant_ozone_lagged_annual_linear_contrast.csv,timevarying_steps_full_seq,HR,Ozone,single_pollutant_ozone_lagged_annual_linear,lagged_annual,linear,p75_vs_p25,3.631734973390638,3.9946492637599937,1.0106355606187811,0.8155297544547359,1.252418113266924,125985,72946,9705,0.7567747748567684,0.34846642386494014,1,0.5549825366902605
hr_single_pollutant_ozone_lagged_annual_spline_contrast.csv,timevarying_steps_full_seq,HR,Ozone,single_pollutant_ozone_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,3.631734973390638,3.9946492637599937,1.049092727702961,0.8431749110068195,1.3052992172229585,125985,72946,9705,0.7569613513599607,2.3267480161182292,3,0.5074160730448494
hr_single_pollutant_pm25_cumulative_linear_contrast.csv,timevarying_steps_full_seq,HR,PM2.5,single_pollutant_pm25_cumulative_linear,cumulative,linear,p75_vs_p25,1.4068080361684163,1.934182680736889,1.0279592582571762,0.7876424193047725,1.3415989422831751,125985,72946,9705,0.7568066293817037,1.0690448309748122,1,0.30116129554346205
hr_single_pollutant_pm25_cumulative_spline_contrast.csv,timevarying_steps_full_seq,HR,PM2.5,single_pollutant_pm25_cumulative_spline,cumulative,spline,p75_vs_p25,1.4068080361684163,1.934182680736889,1.0401419521319653,0.7934973585689956,1.3634516471938871,125985,72946,9705,0.7568339332602196,4.992843326830575,3,0.1723219417783983
hr_single_pollutant_pm25_lagged_annual_linear_contrast.csv,timevarying_steps_full_seq,HR,PM2.5,single_pollutant_pm25_lagged_annual_linear,lagged_annual,linear,p75_vs_p25,1.3914728322620171,1.8993543167908984,1.0184348444637246,0.7834869138340307,1.323837723520124,125985,72946,9705,0.7567292683925751,0.5270249521745967,1,0.4678603238468045
hr_single_pollutant_pm25_lagged_annual_spline_contrast.csv,timevarying_steps_full_seq,HR,PM2.5,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,1.3914728322620171,1.8993543167908984,1.0120307347031252,0.7762722386431353,1.3193904882827985,125985,72946,9705,0.7568157306745423,1.4576056055077022,3,0.6920889198158031
li_combined_pollutants_cumulative_linear_contrast.csv,timevarying_steps_li_lu_seq,LI,PM2.5,combined_pollutants_cumulative_linear,cumulative,linear,p75_vs_p25,1.418166418148901,1.9992868747976096,0.9964742747954488,0.7057327631447358,1.4069928904880291,421374,216497,41324,0.7941134699510293,0.05760901658853767,1,0.8103156947923766
li_combined_pollutants_cumulative_linear_contrast.csv,timevarying_steps_li_lu_seq,LI,Ozone,combined_pollutants_cumulative_linear,cumulative,linear,p75_vs_p25,3.642077856437832,4.0914002976953485,1.0107380086025264,0.8931194904269993,1.1438461851788488,421374,216497,41324,0.7941134699510293,1.1216512670127854,1,0.2895631711175577
li_combined_pollutants_cumulative_linear_contrast.csv,timevarying_steps_li_lu_seq,LI,NO2,combined_pollutants_cumulative_linear,cumulative,linear,p75_vs_p25,0.508116940406361,1.2983450415254638,0.9837943478184052,0.864994005130999,1.118911013322994,421374,216497,41324,0.7941134699510293,1.1330906541615644,1,0.2871170556819154
li_combined_pollutants_cumulative_spline_contrast.csv,timevarying_steps_li_lu_seq,LI,PM2.5,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,1.418166418148901,1.9992868747976096,0.9810631833006536,0.6941932816525371,1.3864798105461384,421374,216497,41324,0.7941188292591426,1.2580220625204412,3,0.7391244504344463
li_combined_pollutants_cumulative_spline_contrast.csv,timevarying_steps_li_lu_seq,LI,Ozone,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,3.642077856437832,4.0914002976953485,1.03646350660135,0.913168638080273,1.1764054915144084,421374,216497,41324,0.7941188292591426,6.586560943087356,3,0.08631055611634528
