organ,exposure_window,model_family,pollutant,term,hazard_ratio,conf_low,conf_high,p_value,n_intervals,adverse_events,concordance
HR,cumulative,combined,NO2,no2_waitlist_cum_10unit,1.0092340277756495,0.9306170617186552,1.0944924230587445,0.8242052162886739,125985,9705,0.7567838761496071
HR,cumulative,single,NO2,no2_waitlist_cum_10unit,1.0166730285988697,0.950727008507256,1.0871933139916783,0.6289131150201182,125985,9705,0.7569021929565094
HR,cumulative,combined,Ozone,o3_waitlist_cum_10ppb,1.046582017733238,0.9415334389363864,1.1633510553591508,0.39886859814789255,125985,9705,0.7567838761496071
HR,cumulative,single,Ozone,o3_waitlist_cum_10ppb,1.035914339356361,0.937440664589958,1.1447322044147874,0.488717530537642,125985,9705,0.7567520216246718
HR,cumulative,combined,PM2.5,pm25_waitlist_cum_5ug,1.051892451779476,0.938276069761364,1.179266706004825,0.38567113011172616,125985,9705,0.7567838761496071
HR,cumulative,single,PM2.5,pm25_waitlist_cum_5ug,1.0536794956482765,0.9542494127913966,1.163469911185903,0.301161295543462,125985,9705,0.7568066293817037
HR,lagged_annual,combined,NO2,no2_waitlist_10unit,1.0092553251526195,0.929745441676698,1.095564727386013,0.8258323673592296,125985,9705,0.7568157306745423
HR,lagged_annual,single,NO2,no2_waitlist_10unit,1.012857677976854,0.945730983877315,1.0847489331805025,0.7149931551704158,125985,9705,0.7568930916636708
HR,lagged_annual,combined,Ozone,o3_waitlist_10ppb,1.0361349826030961,0.9358014655303434,1.1472259252826602,0.4945412967890306,125985,9705,0.7568157306745423
HR,lagged_annual,single,Ozone,o3_waitlist_10ppb,1.0295802944629666,0.9345992463160948,1.1342140355075034,0.5549825366902605,125985,9705,0.7567747748567684
HR,lagged_annual,combined,PM2.5,pm25_waitlist_5ug,1.0327559269715263,0.9241793574551596,1.1540885392980296,0.569558655199701,125985,9705,0.7568157306745423
HR,lagged_annual,single,PM2.5,pm25_waitlist_5ug,1.0366216562537316,0.9406944115144912,1.142331074853713,0.4678603238468045,125985,9705,0.7567292683925751
KI,cumulative,combined,NO2,no2_waitlist_cum_10unit,0.9802001745370575,0.9559906397522648,1.005022792285349,0.1170430881387509,2781314,116044,0.7446120622162578
KI,cumulative,single,NO2,no2_waitlist_cum_10unit,0.9661459805795336,0.9467446940578726,0.9859448504423614,8.759969363659598e-4,2781314,116044,0.7443927949314398
KI,cumulative,combined,Ozone,o3_waitlist_cum_10ppb,1.0746647404211374,1.0456777754679931,1.104455245582276,2.44922656281707e-7,2781314,116044,0.7446120622162578
KI,cumulative,single,Ozone,o3_waitlist_cum_10ppb,1.083110638022036,1.0556207006708966,1.1113164543390666,1.1526533966740443e-9,2781314,116044,0.7446200710423949
KI,cumulative,combined,PM2.5,pm25_waitlist_cum_5ug,1.0107000149758727,0.9764600613394918,1.0461406059669585,0.5450025312841821,2781314,116044,0.7446120622162578
KI,cumulative,single,PM2.5,pm25_waitlist_cum_5ug,0.9989783457716752,0.969852629313717,1.0289787387872351,0.9460175692080328,2781314,116044,0.7443656367966544
KI,lagged_annual,combined,NO2,no2_waitlist_10unit,0.9606147457009434,0.9360088213649332,0.9858675138471932,0.00240500554256868,2781314,116044,0.7445997922839067
KI,lagged_annual,single,NO2,no2_waitlist_10unit,0.9535397110021868,0.9324877333165964,0.975066961175168,2.9585067208762504e-5,2781314,116044,0.7443869936663533
