organ,pollutant,model,exposure_window,exposure_form,contrast,p25,p75,hazard_ratio,conf_low,conf_high,n_intervals,n_registrations,adverse_events,concordance,wald_chisq,df,p_value
KI,PM2.5,single_pollutant_pm25_cumulative_spline,cumulative,spline,p75_vs_p25,1.4699137410747527,2.0152706385358936,1.0019700200097776,0.9207951960096444,1.0903009978213212,2781314,673351,116044,0.7443787281470708,0.5355652952176841,3,0.9110112083338046
KI,Ozone,single_pollutant_ozone_cumulative_spline,cumulative,spline,p75_vs_p25,3.612419568100319,4.038783887454444,1.0343586720344955,0.9021523636410959,1.1859392110827565,2781314,673351,116044,0.7446254102598197,40.13531727190472,3,9.974074194707585e-9
KI,NO2,single_pollutant_no2_cumulative_spline,cumulative,spline,p75_vs_p25,0.5522583179125579,1.38809525966644,0.9650681546984301,0.9053578976393062,1.0287164287642683,2781314,673351,116044,0.744406913054438,12.711235327487193,3,0.005304572271185936
KI,PM2.5,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,1.4699137410747527,2.0152706385358936,1.0123193859348707,0.9283373129221861,1.1038989006202449,2781314,673351,116044,0.7446289012865974,1.17764411872184,3,0.7583710165548798
KI,Ozone,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,3.612419568100319,4.038783887454444,1.0279482316232058,0.8954709080716565,1.1800244512384759,2781314,673351,116044,0.7446289012865974,29.177382859498223,3,2.055230072375065e-6
KI,NO2,combined_pollutants_cumulative_spline,cumulative,spline,p75_vs_p25,0.5522583179125579,1.38809525966644,0.9731433243950909,0.9063127018287788,1.0449019724691428,2781314,673351,116044,0.7446289012865974,4.423243090903318,3,0.2192398658678195
KI,PM2.5,single_pollutant_pm25_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,1.4259236324696243,1.9335416455601546,0.9974614235719425,0.8574161356500791,1.1603808817521573,2781314,673351,116044,0.7443720541252898,1.5305279535059957,3,0.675242628462716
KI,Ozone,single_pollutant_ozone_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,3.6007414174079906,4.020549310113662,1.0315702035870458,0.923908464614722,1.151777611835577,2781314,673351,116044,0.7445971740138234,35.776925255984025,3,8.347330408640737e-8
KI,NO2,single_pollutant_no2_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,0.51655694237722,1.28970690929528,0.9572262820517532,0.8983105998120295,1.0200059481011954,2781314,673351,116044,0.7443995202918499,19.746147709484852,3,1.9159497604983198e-4
KI,PM2.5,combined_pollutants_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,1.4259236324696243,1.9335416455601546,1.0100771860657967,0.8658658146002474,1.17830719795957,2781314,673351,116044,0.7446040020514917,3.46532898354537,3,0.3252867536125953
KI,Ozone,combined_pollutants_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,3.6007414174079906,4.020549310113662,1.0240291598433229,0.9127441494180417,1.1488824342265278,2781314,673351,116044,0.7446040020514917,23.340654528640094,3,3.429050893647653e-5
KI,NO2,combined_pollutants_lagged_annual_spline,lagged_annual,spline,p75_vs_p25,0.51655694237722,1.28970690929528,0.9607069792907045,0.9006004679508789,1.0248250283034614,2781314,673351,116044,0.7446040020514917,10.855147552496229,3,0.012535497077067546
