organ,model,exposure_window,exposure_form,pollutant,n_intervals,n_registrations,adverse_events,concordance,term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high
KI,single_pollutant_pm25_cumulative_linear,cumulative,linear,PM2.5,2781314,673351,116044,0.7443656367966544,pm25_waitlist_cum_5ug,0.9989783457716751,0.013894104656639664,0.015096691230162388,-0.06770864271875969,0.9460175692080328,0.969852629313717,1.0289787387872351
KI,single_pollutant_ozone_cumulative_linear,cumulative,linear,Ozone,2781314,673351,116044,0.7446200710423949,o3_waitlist_cum_10ppb,1.083110638022036,0.011854375688772109,0.013116662373016692,6.086694874732695,1.1526533966740445e-9,1.0556207006708966,1.1113164543390666
KI,single_pollutant_no2_cumulative_linear,cumulative,linear,NO2,2781314,673351,116044,0.7443927949314398,no2_waitlist_cum_10unit,0.9661459805795335,0.009629001407771003,0.010349924374384143,-3.3275931619144914,8.759969363659598e-4,0.9467446940578726,0.9859448504423614
KI,combined_pollutants_cumulative_linear,cumulative,linear,PM2.5,2781314,673351,116044,0.7446120622162578,pm25_waitlist_cum_5ug,1.0107000149758727,0.016066642341372048,0.01758430486245192,0.6052656047003344,0.5450025312841821,0.9764600613394918,1.0461406059669585
KI,combined_pollutants_cumulative_linear,cumulative,linear,Ozone,2781314,673351,116044,0.7446120622162578,o3_waitlist_cum_10ppb,1.0746647404211374,0.012738138878453723,0.013951011161334247,5.161542968451474,2.44922656281707e-7,1.0456777754679933,1.104455245582276
KI,combined_pollutants_cumulative_linear,cumulative,linear,NO2,2781314,673351,116044,0.7446120622162578,no2_waitlist_cum_10unit,0.9802001745370575,0.011775318713039967,0.012759769458032628,-1.56730640861361,0.1170430881387509,0.9559906397522647,1.005022792285349
KI,single_pollutant_pm25_lagged_annual_linear,lagged_annual,linear,PM2.5,2781314,673351,116044,0.7443834513009465,pm25_waitlist_5ug,1.0059640355551986,0.012675263501274693,0.01364237694469001,0.4358713380725657,0.662930081537539,0.9794224219861936,1.0332249069592632
KI,single_pollutant_ozone_lagged_annual_linear,lagged_annual,linear,Ozone,2781314,673351,116044,0.7446050801627024,o3_waitlist_10ppb,1.0800265572718304,0.011764805139548468,0.012962618441117386,5.9390493710830015,2.8667953030717867e-9,1.0529327496264276,1.1078175361401688
KI,single_pollutant_no2_lagged_annual_linear,lagged_annual,linear,NO2,2781314,673351,116044,0.7443869936663533,no2_waitlist_10unit,0.9535397110021868,0.010615482276141099,0.011390553680835172,-4.176636933163205,2.9585067208762504e-5,0.9324877333165963,0.9750669611751679
KI,combined_pollutants_lagged_annual_linear,lagged_annual,linear,PM2.5,2781314,673351,116044,0.7445997922839067,pm25_waitlist_5ug,1.0214026323491812,0.014134951814981263,0.015179402997797704,1.3951017986886505,0.162985143869513,0.9914623834663634,1.0522470189160038
KI,combined_pollutants_lagged_annual_linear,lagged_annual,linear,Ozone,2781314,673351,116044,0.7445997922839067,o3_waitlist_10ppb,1.0662560774670233,0.012431184537347,0.013562550118650837,4.7301959512116145,2.2430322970311743e-6,1.0382861383317168,1.0949794866394913
KI,combined_pollutants_lagged_annual_linear,lagged_annual,linear,NO2,2781314,673351,116044,0.7445997922839067,no2_waitlist_10unit,0.9606147457009434,0.012319349424122626,0.013239293609626715,-3.0350440546868365,0.0024050055425686822,0.9360088213649332,0.9858675138471931
