organ,model,n,adverse_events,concordance,term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high
HR,clinical_center_community,73339,9972,0.7465430700925414,"ns(age, df = 4)1",0.9349423619728685,0.046918837559882104,0.04567862629517264,-1.4726886948763374,0.14083499632106525,0.8548759921853355,1.0225076247338332
HR,clinical_center_community,73339,9972,0.7465430700925414,"ns(age, df = 4)2",1.4614116788369154,0.041734309506497876,0.04108082169533235,9.23552295757517,2.5702735921410396e-20,1.3483558224572043,1.583946951887559
HR,clinical_center_community,73339,9972,0.7465430700925414,"ns(age, df = 4)3",1.2673079087992902,0.10275772784373505,0.10186603990583977,2.325553187048032,0.02004239939721542,1.0379432640015755,1.547357540057982
HR,clinical_center_community,73339,9972,0.7465430700925414,"ns(age, df = 4)4",4.756507049087974,0.09941334970318307,0.09610026341236805,16.22798450574384,3.1978845409697003e-59,3.939920440977866,5.742339127641965
HR,clinical_center_community,73339,9972,0.7465430700925414,sexM,0.9078505280734243,0.0252381530567843,0.024482786943519626,-3.948714287058184,7.857206263699965e-5,0.8653156621825887,0.9524762087910573
HR,clinical_center_community,73339,9972,0.7465430700925414,race_srtrBLACK,0.943765754123064,0.026800590902549028,0.025785990930755755,-2.244524385474271,0.02479868174097166,0.8972534543983003,0.9926891830723309
HR,clinical_center_community,73339,9972,0.7465430700925414,race_srtrMissing,0.7526496360102616,0.7496715409407428,0.5163717041817204,-0.5502924501584122,0.5821188017412784,0.2735624373302981,2.070757521078861
HR,clinical_center_community,73339,9972,0.7465430700925414,race_srtrMULTI,1.031976393348444,0.1397859610046534,0.1351074030477437,0.23296867103765362,0.8157857333505762,0.7918923232658283,1.3448485925920053
HR,clinical_center_community,73339,9972,0.7465430700925414,race_srtrNATIVE,1.5280848702329772,0.1589700200654641,0.14670311239783318,2.8902947293864383,0.0038488079661484387,1.146234722010464,2.0371424157692006
HR,clinical_center_community,73339,9972,0.7465430700925414,race_srtrPACIFIC,1.3151964474179305,0.20465114400490356,0.20332071304621951,1.3475559869856875,0.1778012346967741,0.8829248136675029,1.9591041825132596
HR,clinical_center_community,73339,9972,0.7465430700925414,race_srtrWHITE,1.0291595815755417,0.025382020497554458,0.02446082021656032,1.1750435475487861,0.23997729396868608,0.980983344451877,1.0797017608291335
HR,clinical_center_community,73339,9972,0.7465430700925414,ethnicity_srtrNLATIN,1.0170955892829607,0.039415718840187464,0.03801107871450263,0.4459516712350263,0.6556321564510912,0.9440754018212967,1.095763575391481
HR,clinical_center_community,73339,9972,0.7465430700925414,"ns(bmi, df = 3)1",0.364766798968302,0.37565549064614706,0.3745793614993298,-2.692345441796642,0.0070951413267086975,0.1750542952837714,0.7600774229155213
HR,clinical_center_community,73339,9972,0.7465430700925414,"ns(bmi, df = 3)2",0.6020943110388511,0.19001969456449855,0.18759242570218662,-2.7044865014638573,0.006841004909927008,0.41685552450309465,0.8696479669244674
HR,clinical_center_community,73339,9972,0.7465430700925414,"ns(bmi, df = 3)3",9.95580691978105,0.3603883351031414,0.3526388327647441,6.517024721715245,7.171561030860545e-11,4.987808221958861,19.872073466576392
HR,clinical_center_community,73339,9972,0.7465430700925414,aboA1,1.0709822828733155,0.36316559927805014,0.29824303074110436,0.22993411968899943,0.8181429628718682,0.596921687944748,1.9215301996778957
HR,clinical_center_community,73339,9972,0.7465430700925414,aboA1B,2.64129163925223,0.8622416481958747,0.5740330847375245,1.692007099638728,0.09064461996150228,0.8574296730711469,8.136435841549012
HR,clinical_center_community,73339,9972,0.7465430700925414,aboA2,0.0847136791524746,5.991694478689489,0.7651500578988873,-3.226136054844806,0.0012547369595910902,0.018908480659691442,0.3795337956923672
HR,clinical_center_community,73339,9972,0.7465430700925414,aboA2B,0.0907480535827831,3.278249099084751,0.5098237894018156,-4.706858142116833,2.51563835112731e-6,0.033409849746660315,0.24649045989459656
HR,clinical_center_community,73339,9972,0.7465430700925414,aboAB,1.0899390268106162,0.06615841892258462,0.06554207636691314,1.3139918773468033,0.18884893770194344,0.9585453988133836,1.239343575834278
