year,month,rows,zips,dates,missing_values,zonal_mean_values,nearest_fill_values,mean,p01,p50,p99,output
2011,4,999000,33300,30,0,967080,31920,8.47357188938179,2.09722165991903,7.71977211578982,20.0304894402392,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2011_04.csv.gz
2011,5,1032300,33300,31,0,999316,32984,9.08060046865008,2,8.00952380952381,22.8333333333333,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2011_05.csv.gz
2011,6,999000,33300,30,0,967080,31920,10.4716993798996,2.10833333333333,9.36178168095674,26.2687076328329,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2011_06.csv.gz
2011,7,1032300,33300,31,0,999316,32984,11.6715806736158,2.875,11,25.8,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2011_07.csv.gz
2011,8,1032300,33300,31,0,999316,32984,9.86718369083857,2.97445161894067,9.07692307692308,22.6733381316999,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2011_08.csv.gz
2011,9,999000,33300,30,0,967080,31920,8.62799053596993,1.9375,7.5,25.4821428571429,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2011_09.csv.gz
2011,10,1032300,33300,31,0,999316,32984,7.96146803858554,1.82065078037904,7.24390243902439,20.3333333333333,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2011_10.csv.gz
2011,11,999000,33300,30,0,967080,31920,7.90781481873105,2,7.31954485177739,19.4074242424243,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2011_11.csv.gz
2011,12,1032300,33300,31,0,999316,32984,8.67399078846788,1.97518520103058,8,24.4,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2011_12.csv.gz
2012,1,1032300,33300,31,0,999316,32984,7.77092295633848,1.84615384615385,7.10909090909091,20.5,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2012_01.csv.gz
2012,2,965700,33300,29,0,934844,30856,8.01476228336903,2,7.78125,17.5844236156001,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2012_02.csv.gz
2012,3,1032300,33300,31,0,999316,32984,7.96818334636841,2,7.61586674343138,17.6,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2012_03.csv.gz
2012,4,999000,33300,30,0,967080,31920,7.37559370113137,1.82,6.89189189189189,16.6890814256737,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2012_04.csv.gz
2012,5,1032300,33300,31,0,999316,32984,8.79865673786967,2.00961446886447,8.16666666666667,20,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2012_05.csv.gz
2012,6,999000,33300,30,0,967080,31920,8.85692535382333,1.99488424790957,8,21.9230769230769,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2012_06.csv.gz
2012,7,1032300,33300,31,0,999316,32984,10.1178498264534,3,9.55223880597015,21.7209349275408,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2012_07.csv.gz
2012,8,1032300,33300,31,0,999316,32984,9.52833414204353,2.90648818025117,9.07692307692308,19.25,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2012_08.csv.gz
2012,9,999000,33300,30,0,967080,31920,7.92102859315242,2,7.40740740740741,19.7983877219305,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2012_09.csv.gz
2012,10,1032300,33300,31,0,999316,32984,7.2210330280049,1.80434782608696,6.9481561475082,16.5078145889037,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2012_10.csv.gz
2012,11,999000,33300,30,0,967080,31920,9.66193755337896,2,9,23.1409419660482,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2012_11.csv.gz
2012,12,1032300,33300,31,0,999316,32984,8.59300450291004,2,8,20.9869006975557,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2012_12.csv.gz
2013,1,1032300,33300,31,0,999316,32984,9.4310040330204,2.88571301209934,8.30280287301498,25.8490620799522,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2013_01.csv.gz
2013,2,932400,33300,28,0,902608,29792,8.12812463597538,2.85700429651696,7.44253576145912,19.3333333333333,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2013_02.csv.gz
2013,3,1032300,33300,31,0,999316,32984,7.84635599693458,2.75,7,19.0985,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2013_03.csv.gz
2013,4,999000,33300,30,0,967080,31920,7.20753549592015,2.1875,6.85507246376812,16.0927846318517,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2013_04.csv.gz
2013,5,1032300,33300,31,0,999316,32984,7.60220520516961,2,7,17.8181818181818,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2013_05.csv.gz
2013,6,999000,33300,30,0,967080,31920,8.76554942913646,2.01400910630397,8.02712521350677,19.72,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2013_06.csv.gz
2013,7,1032300,33300,31,0,999316,32984,9.22140598701236,2.952,8.67814295977012,19.5,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2013_07.csv.gz
2013,8,1032300,33300,31,0,999316,32984,9.39922451139004,2.91150396386431,8.94587261726437,20.4,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2013_08.csv.gz
2013,9,999000,33300,30,0,967080,31920,8.16231029622079,1.94295206136146,7.18543501200786,20.875,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2013_09.csv.gz
2013,10,1032300,33300,31,0,999316,32984,7.33805802207359,2,6.75,17.3178603896104,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2013_10.csv.gz
2013,11,999000,33300,30,0,967080,31920,7.30150085801181,2,6.44117647058824,19.3913043478261,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2013_11.csv.gz
2013,12,1032300,33300,31,0,999316,32984,9.45873266066513,2.6877352661597,8.43529411764706,24.5302667106904,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2013_12.csv.gz
2014,1,1032300,33300,31,0,999316,32984,7.92265935367922,2.00294985250737,7,23.8,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2014_01.csv.gz
2014,2,932400,33300,28,0,902608,29792,9.23440594310214,2.33333333333333,8.14588963963964,24.9500031055901,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2014_02.csv.gz
2014,3,1032300,33300,31,0,999316,32984,8.48675643761321,2.09935853530032,7.97036630483392,20.1348344974188,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2014_03.csv.gz
2014,4,999000,33300,30,0,967080,31920,7.51340886530094,2,7,16.737979539642,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2014_04.csv.gz
2014,5,1032300,33300,31,0,999316,32984,7.78460448186946,1.98141246649952,7.28453583699017,17.1153856248738,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/lghap_pm25_zcta_daily/lghap_pm25_zcta_daily_2014_05.csv.gz
