year,file,path,rows,expected_rows,zips,dates,first_date,last_date,missing_values,mean_pm25_ug_m3,size_bytes,size_mb,sha256
2005,lghap_pm25_zcta_daily_2005.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/lghap_pm25_zcta_daily_parquet/lghap_pm25_zcta_daily_2005.parquet,12154500,12154500,33300,365,2005-01-01,2005-12-31,0,10.698764045915194,51949546,49.5,0a9d8bbfcfe0e1209549c624e18b2862f62aa674e87cc52d810f6fa7d4fe65b7
2006,lghap_pm25_zcta_daily_2006.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/lghap_pm25_zcta_daily_parquet/lghap_pm25_zcta_daily_2006.parquet,12154500,12154500,33300,365,2006-01-01,2006-12-31,0,10.263909341792308,51661642,49.3,20bb975fe857cc655472176b4ba0c921033e69c8f3816871ff64a01fb93c35ab
2007,lghap_pm25_zcta_daily_2007.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/lghap_pm25_zcta_daily_parquet/lghap_pm25_zcta_daily_2007.parquet,12154500,12154500,33300,365,2007-01-01,2007-12-31,0,10.750714514488362,52226609,49.8,ad6517b8b67821c885b5daa5d80b94c9ee5de0bc648c7896821ae81612636d78
2008,lghap_pm25_zcta_daily_2008.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/lghap_pm25_zcta_daily_parquet/lghap_pm25_zcta_daily_2008.parquet,12187800,12187800,33300,366,2008-01-01,2008-12-31,0,9.745638976297526,51398737,49,be7f2da7755ff013423c993687a808ab73c43f8ebaebb0736edfa3b6a33ea77d
2009,lghap_pm25_zcta_daily_2009.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/lghap_pm25_zcta_daily_parquet/lghap_pm25_zcta_daily_2009.parquet,12154500,12154500,33300,365,2009-01-01,2009-12-31,0,8.874975839387044,50453558,48.1,a14fda0d77280f2646aa3d51788668c159a7ac5035f9d54a4515f533bf6b558b
2010,lghap_pm25_zcta_daily_2010.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/lghap_pm25_zcta_daily_parquet/lghap_pm25_zcta_daily_2010.parquet,12154500,12154500,33300,365,2010-01-01,2010-12-31,0,9.14142965177874,51259998,48.9,af6bb98aeb1b2b9d14e0afaa9f9a028cb89b76a4c69742e0966ce10661ba2205
2011,lghap_pm25_zcta_daily_2011.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/lghap_pm25_zcta_daily_parquet/lghap_pm25_zcta_daily_2011.parquet,12154500,12154500,33300,365,2011-01-01,2011-12-31,0,9.175346647045,50937110,48.6,51688a9f97db545e558d1278b0917d2f46b038841479a9d345df914c345aa747
2012,lghap_pm25_zcta_daily_2012.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/lghap_pm25_zcta_daily_parquet/lghap_pm25_zcta_daily_2012.parquet,12187800,12187800,33300,366,2012-01-01,2012-12-31,0,8.488607057382314,50290654,48,c717273eb0f0a3a5c2958c5e0bb4310487b8270689818e49cd8da297d6a33e57
2013,lghap_pm25_zcta_daily_2013.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/lghap_pm25_zcta_daily_parquet/lghap_pm25_zcta_daily_2013.parquet,12154500,12154500,33300,365,2013-01-01,2013-12-31,0,8.328495756411572,49847129,47.5,ffb4f7c87d1a6405d5209866d8408e82d8f7b586065de946b40d8284d6d5c3a6
2014,lghap_pm25_zcta_daily_2014.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/lghap_pm25_zcta_daily_parquet/lghap_pm25_zcta_daily_2014.parquet,12154500,12154500,33300,365,2014-01-01,2014-12-31,0,8.154165307111098,49984159,47.7,3a0b6824126bcee1d1c1d03be7e82dd18dea780b7bb48e845dc10a52bca7711d
2015,lghap_pm25_zcta_daily_2015.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/lghap_pm25_zcta_daily_parquet/lghap_pm25_zcta_daily_2015.parquet,12154500,12154500,33300,365,2015-01-01,2015-12-31,0,7.876864330217903,49629476,47.3,195ea38151e5d856ec047f3a484a8eb19ac2fda19e911974ef78d942a3a4478e
2016,lghap_pm25_zcta_daily_2016.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/lghap_pm25_zcta_daily_parquet/lghap_pm25_zcta_daily_2016.parquet,12187800,12187800,33300,366,2016-01-01,2016-12-31,0,7.342932255698758,48857580,46.6,e72d05153724fa0d83582da4aa263b10275d0c3dfc9094f44765eeff35ec785f
2017,lghap_pm25_zcta_daily_2017.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/lghap_pm25_zcta_daily_parquet/lghap_pm25_zcta_daily_2017.parquet,12154500,12154500,33300,365,2017-01-01,2017-12-31,0,7.694119150077454,49303341,47,f33022fef9b401320ac2972e423094d0ab2749473be9c4effde716d4b0b29248
2018,lghap_pm25_zcta_daily_2018.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/lghap_pm25_zcta_daily_parquet/lghap_pm25_zcta_daily_2018.parquet,12154500,12154500,33300,365,2018-01-01,2018-12-31,0,7.683234392892283,48772921,46.5,cf44d418f1df4879feda485e020fc179fd01b24a45704d8ae05e8badf8b0e91a
