analysis,organ,pollutant,n,people,events,hazard_ratio,conf_low,conf_high,p_value
baseline_reference_reproduction,HR,pm25,74028,74028,10010,1.25930094842313,1.1961799353077667,1.325752783414957,1.5299282079820703e-18
baseline_reference_reproduction,HR,no2,79381,79381,10242,1.1752248160074383,1.1297073562152393,1.2225762367228232,1.134635626503423e-15
baseline_reference_reproduction,HR,o3,74028,74028,10010,0.9924269533463788,0.9257509140998801,1.0639052500272363,0.8303668581435331
baseline_reference_reproduction,KI,pm25,564179,564179,123299,0.929122615429735,0.9162276607212958,0.9421990532608314,6.374127840261585e-25
baseline_reference_reproduction,KI,no2,600141,600141,123941,0.9044982381320308,0.8945511924080437,0.9145558909621007,8.374666920032383e-71
baseline_reference_reproduction,KI,o3,564179,564179,123299,1.0505116556057987,1.0332092749499335,1.068103786250963,6.044337388154171e-9
baseline_reference_reproduction,LI,pm25,208592,208592,42101,1.025240154797539,1.0023526709248645,1.0486502460650124,0.03046700597082882
baseline_reference_reproduction,LI,no2,222559,222559,42847,0.9968769734911745,0.9794674330603013,1.0145959597369711,0.7278656672374078
baseline_reference_reproduction,LI,o3,208592,208592,42101,1.0341440930122945,1.0052730189612624,1.0638443337684287,0.020125284402912183
baseline_reference_reproduction,LU,pm25,46788,46788,5582,1.1497483619402376,1.0759423036290021,1.228617270020525,3.7510202816248535e-5
baseline_reference_reproduction,LU,no2,50401,50401,5675,1.1317560948018548,1.076224278957754,1.190153282326596,1.4236552542286075e-6
baseline_reference_reproduction,LU,o3,46788,46788,5582,0.9703010041394214,0.891891761196912,1.0556034707288977,0.4831290560265037
