pollutant,file,path,rows,zips,first_year,last_year,temporal_resolution,value_column,missing_values,size_bytes,size_mb,sha256
pm25,air_pollution_zcta_pm25_monthly_2005_2023.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/air_pollution_zcta_parquet/air_pollution_zcta_pm25_monthly_2005_2023.parquet,7592400,33300,2005,2023,monthly,pm25_ug_m3,0,53186813,50.7,aa53b14d58c07cb971b3b6947203f87c34c36f20e11cf0397817549d04988a10
o3,air_pollution_zcta_o3_monthly_2005_2023.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/air_pollution_zcta_parquet/air_pollution_zcta_o3_monthly_2005_2023.parquet,7592400,33300,2005,2023,monthly,o3_ppb,0,52097470,49.7,d3958bfd174d74e8f5432c2c8774312a3263f71cbcbc58c16b54ec20eef06765
no2,air_pollution_zcta_no2_annual_2005_2024.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/air_pollution_zcta_parquet/air_pollution_zcta_no2_annual_2005_2024.parquet,666000,33300,2005,2024,annual,no2,0,5174688,4.9,b9ff68e0f4cf4f21af92a84a4b1eaf96f1a112879b42db507f646072d2eb082a
