sensitivity,organ_label,exposure,exposure_window,n,adverse_events,hazard_ratio_ci,p_value_display,adjustment_set
no_organ_score,Heart,pm25,observed_waitlist_period_mean,71308,9893,1.70 (1.58 to 1.84),<.001,age + sex + race + listing_year + strata(listing_center)
no_organ_score,Heart,o3,observed_waitlist_period_mean,71308,9893,1.00 (0.92 to 1.08),0.958,age + sex + race + listing_year + strata(listing_center)
no_organ_score,Heart,no2,observed_waitlist_period_mean,82140,10749,1.29 (1.24 to 1.35),<.001,age + sex + race + listing_year + strata(listing_center)
no_organ_score,Kidney,pm25,observed_waitlist_period_mean,554775,116267,1.97 (1.92 to 2.02),<.001,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center)
no_organ_score,Kidney,o3,observed_waitlist_period_mean,554775,116267,1.10 (1.08 to 1.12),<.001,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center)
no_organ_score,Kidney,no2,observed_waitlist_period_mean,627755,131497,1.46 (1.44 to 1.48),<.001,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes + strata(listing_center)
no_organ_score,Liver,pm25,observed_waitlist_period_mean,204885,41945,1.58 (1.53 to 1.64),<.001,age + sex + race + listing_year + strata(listing_center)
no_organ_score,Liver,o3,observed_waitlist_period_mean,204885,41945,1.05 (1.02 to 1.09),0.002,age + sex + race + listing_year + strata(listing_center)
no_organ_score,Liver,no2,observed_waitlist_period_mean,232784,45382,1.28 (1.26 to 1.31),<.001,age + sex + race + listing_year + strata(listing_center)
no_organ_score,Lung,pm25,observed_waitlist_period_mean,44849,5596,1.48 (1.36 to 1.62),<.001,age + sex + race + listing_year + strata(listing_center)
no_organ_score,Lung,o3,observed_waitlist_period_mean,44849,5596,0.93 (0.85 to 1.03),0.150,age + sex + race + listing_year + strata(listing_center)
no_organ_score,Lung,no2,observed_waitlist_period_mean,51958,5935,1.26 (1.19 to 1.33),<.001,age + sex + race + listing_year + strata(listing_center)
no_listing_center,Heart,pm25,observed_waitlist_period_mean,71308,9893,1.44 (1.36 to 1.53),<.001,age + sex + race + listing_year + baseline_organ_score
no_listing_center,Heart,o3,observed_waitlist_period_mean,71308,9893,1.03 (0.98 to 1.08),0.270,age + sex + race + listing_year + baseline_organ_score
no_listing_center,Heart,no2,observed_waitlist_period_mean,82140,10749,1.12 (1.07 to 1.16),<.001,age + sex + race + listing_year + baseline_organ_score
no_listing_center,Kidney,pm25,observed_waitlist_period_mean,554775,116267,1.25 (1.23 to 1.27),<.001,age + sex + race + listing_year + no_dialysis_time + dialysis_duration_years + diabetes
