WL_ORG,n_registrations,n_people,n_waitlist_deaths,median_followup_days,mean_pm25_ug_m3,mean_o3_ppb,mean_no2
HL,1073,1028,184,79,8.952524216126646,38.54298227805288,9.52374542514859
HR,74680,69886,5592,89,8.620622815486763,38.72845304124325,8.960206025994033
IN,3454,3021,360,117,9.441268074677525,38.68786145281827,10.308349265174801
KI,633153,515025,75058,984,8.965191441288239,38.59814789459075,10.307805167941822
KP,25950,23361,2162,547,8.966944643410493,38.66637129329548,9.779575390389462
LI,224463,201945,23376,129,8.750484358005528,38.895570171014946,9.371580565706909
LU,48022,44708,3372,59,8.52290883592795,38.91124475576088,8.461427912488498
PA,8469,7549,432,425,9.24186195615348,38.55866281505159,10.05885013383684
