model,term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high
single_pollutant_pm25_per_5ug_m3,"ns(age, df = 4)1",0.9139436683532566,0.02567245732498807,0.0303928456934657,-2.9607738062279734,0.0030686721937798686,0.8610908835026483,0.9700404973808302
single_pollutant_pm25_per_5ug_m3,"ns(age, df = 4)2",1.7909161640754883,0.0211746419949499,0.02390633099210857,24.375438983669447,3.116127237736831e-131,1.7089373843117945,1.876827516438529
single_pollutant_pm25_per_5ug_m3,"ns(age, df = 4)3",0.38131677006712994,0.06341602805704658,0.0743467762325531,-12.967944013829815,1.8595140746392877e-38,0.3296110897011279,0.4411334559958857
single_pollutant_pm25_per_5ug_m3,"ns(age, df = 4)4",1.8464685970096466,0.06543674665326629,0.06912428886669364,8.872061593056337,7.180404602806218e-19,1.6125130001532941,2.114368243492395
single_pollutant_pm25_per_5ug_m3,sexM,1.0106559569267384,0.0062563087457702116,0.006808412577596797,1.5568360798779863,0.11950940863287196,0.9972591020421517,1.0242327808087814
single_pollutant_pm25_per_5ug_m3,race_srtrBLACK,0.8971975717284185,0.014071084829167909,0.015100632131187956,-7.183751110356253,6.78242873995585e-13,0.8710325970613412,0.9241485168650725
single_pollutant_pm25_per_5ug_m3,race_srtrMULTI,0.9050228766711614,0.04770409456994947,0.04917250338449918,-2.0294890567534947,0.0424085024853839,0.8218713594640134,0.9965871153270284
single_pollutant_pm25_per_5ug_m3,race_srtrNATIVE,1.2531379428558338,0.03300774668548016,0.03444127082997384,6.5517547548386545,5.686487596183411e-11,1.1713384970712355,1.3406497846279264
single_pollutant_pm25_per_5ug_m3,race_srtrPACIFIC,1.108811847402673,0.05223189507625074,0.05456178639625565,1.8930654787079602,0.05834916229352815,0.9963565515390033,1.2339595810771358
single_pollutant_pm25_per_5ug_m3,race_srtrWHITE,1.3061262008896646,0.013564708441616587,0.01452582581803181,18.385574847630604,1.7141309973023866e-75,1.2694650133025949,1.3438461357925011
single_pollutant_pm25_per_5ug_m3,ethnicity_srtrNLATIN,1.2406466702723267,0.008755253112269691,0.009511724905162095,22.670204838017217,8.818287284898508e-114,1.217732001804336,1.2639925354488049
single_pollutant_pm25_per_5ug_m3,CAN_BMI,1.0000020134891021,1.8067813902181909e-6,1.7009197035293565e-6,1.1837637430970283,0.23650659824779605,0.999998679746587,1.0000053472427308
single_pollutant_pm25_per_5ug_m3,pm25_5ug,1.051986571416877,0.007607481142498532,0.008056206841128568,6.290845111182989,3.157422583258412e-10,1.0355062878930656,1.0687291418511595
single_pollutant_o3_per_10ppb,"ns(age, df = 4)1",0.9134549967414755,0.025676539001245616,0.030397743555561768,-2.9778910682295217,0.0029023911782505634,0.860622209764115,0.9695311387567687
