model,pollutant,hazard_ratio,conf_low,conf_high,robust_se,statistic,p_value
single_pollutant_pm25_per_5ug_m3,PM2.5 per 5 ug/m3,1.051986571416877,1.0355062878930656,1.0687291418511595,0.007607481142498532,6.290845111182989,3.157422583258412e-10
single_pollutant_o3_per_10ppb,O3 per 10 ppb,0.984892837018958,0.970771120685883,0.999219980633441,0.006815407953873055,-2.0658630469619967,0.038841412949135304
single_pollutant_no2_per_10unit,NO2 per 10 units,0.9953840449063562,0.9847726040086001,1.0061098296409212,0.005000845752813569,-0.8460674303387018,0.3975151287352441
three_pollutant_model,PM2.5 per 5 ug/m3,1.0891043052935554,1.068455772304978,1.110151883264276,0.009123029686578665,8.739984320165778,2.3314278355248956e-18
three_pollutant_model,O3 per 10 ppb,0.9587582853737966,0.9433295422861278,0.9744393751786989,0.007690862916616779,-5.0881351640252515,3.616016202530822e-7
three_pollutant_model,NO2 per 10 units,0.9593923880829895,0.946441449357184,0.9725205451818845,0.006332226522944086,-5.978240928314373,2.255599731523741e-9
