WL_ORG,n,deaths,term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high
HL,1073,184,pm25_5ug,0.8841603918051801,0.2266542482736905,0.21438934310141383,-0.574267322842728,0.5657869181692546,0.5808212752183644,1.3459210807028177
HL,1073,184,o3_10ppb,0.9982924274285356,0.19525516650757208,0.17068647634386727,-0.010012697970530412,0.9920111563633036,0.7144456309014411,1.3949105817943463
HL,1073,184,no2_10unit,0.8820673852617426,0.17880059740207482,0.1687950226427527,-0.7434272847949244,0.45722303034166123,0.6336116887367318,1.2279490514035756
HR,74680,5592,pm25_5ug,1.0407779051922872,0.0449150934309339,0.04511075590789923,0.8860064192842293,0.3756140680842103,0.9527077956784724,1.13698938210643
HR,74680,5592,o3_10ppb,0.9457856831280916,0.03778982085702648,0.03809180705438761,-1.4632880535620987,0.1433885752548876,0.8777461447546261,1.0190993873976302
HR,74680,5592,no2_10unit,0.9428005018145386,0.03036850359683256,0.03151097896955422,-1.86920805340301,0.061593874270385575,0.8863344118676408,1.002863901389946
IN,3454,360,pm25_5ug,1.013854168804884,0.15452530583553298,0.15060614199827563,0.09135800769481547,0.9272081271687755,0.7547086206882732,1.3619829526600953
IN,3454,360,o3_10ppb,1.3159973768662978,0.1493847370530412,0.1512786361210523,1.8151594083563665,0.06949941567045659,0.9783323516730779,1.7702052814233176
IN,3454,360,no2_10unit,1.1172169458582175,0.1034083057535105,0.101677836981915,1.0901168476321226,0.27566167578073864,0.9153542086053589,1.3635964005829948
KI,633153,75058,pm25_5ug,1.1265688179680518,0.011183381825666491,0.011765143586720697,10.129631501691103,4.081848001807349e-24,1.1008882031499891,1.1528484890531783
KI,633153,75058,o3_10ppb,0.9441406583170092,0.009402059559570996,0.009938348009482116,-5.783669622667583,7.3088417768159194e-9,0.9259278847148288,0.9627116726934012
KI,633153,75058,no2_10unit,0.947066690305214,0.007615118021271772,0.008263274982165543,-6.581623591641547,4.6533845471918834e-11,0.9318518026928025,0.9625300002573036
KP,25950,2162,pm25_5ug,0.9756438867138941,0.0655513689690991,0.06861046562873367,-0.3593858326800992,0.7193064716619205,0.8528840515516917,1.116073154317275
KP,25950,2162,o3_10ppb,0.9186565948709738,0.05693428657349836,0.05627231530558693,-1.507720068193249,0.13162618708989812,0.8227239034117443,1.0257753977977901
KP,25950,2162,no2_10unit,0.9912220078377311,0.046211073242515784,0.0469159054948656,-0.18792658043307608,0.8509342057782624,0.9041407527551136,1.0866903917646753
LI,224463,23376,pm25_5ug,1.0383776766406225,0.018945433081879376,0.019184861854064237,1.9629835847055086,0.049648081458966944,1.0000579322900391,1.0781657387352908
LI,224463,23376,o3_10ppb,0.9722787107222077,0.01602512747283606,0.016239968237330742,-1.7310856638763672,0.08343648690411039,0.941818659239445,1.0037238931823942
LI,224463,23376,no2_10unit,0.9614307773338981,0.013960746532086371,0.01427851224921185,-2.7546785204966104,0.0058749829740483775,0.934897781041834,0.9887167970115246
LU,48022,3372,pm25_5ug,0.9269720338391081,0.05224018903980531,0.05132238886257487,-1.4775594825245648,0.139525726059082,0.8382642315394229,1.0250671795238127
LU,48022,3372,o3_10ppb,1.1179221292538726,0.04399617201267791,0.043496985141804514,2.5627459032742026,0.010384801937153553,1.0265659431292848,1.2174082877383354
LU,48022,3372,no2_10unit,1.0530014205758216,0.03939756292574074,0.03956443033534397,1.3053285940944614,0.19178098142591257,0.974432258753551,1.13790566945417
PA,8469,432,pm25_5ug,1.2749222345952413,0.1470468247478686,0.14552915208325948,1.6689795879315918,0.0951214251757348,0.9585373860521226,1.695736366590648
PA,8469,432,o3_10ppb,1.0923169993329342,0.13645650317490365,0.13665264305264474,0.6461721167839239,0.5181678951335421,0.8356602640989982,1.4278008399958524
PA,8469,432,no2_10unit,1.0066707029159565,0.10040029420525061,0.10380652500392322,0.06404753679541045,0.9489323755907029,0.8213479079065763,1.2338083464438223
