listing_year,n,pct_risk_record,pct_first_sodium,pct_any_sodium,pct_first_creatinine,pct_any_creatinine,pct_first_albumin,pct_any_albumin,pct_first_bilirubin,pct_any_bilirubin,pct_first_bnp,pct_any_bnp
2005,2827,0,0,0,0,0,0,0,0,0,0,0
2006,3039,0.09871668311944717,0.09871668311944717,0.09871668311944717,0.09871668311944717,0.09871668311944717,0.09871668311944717,0.09871668311944717,0.09871668311944717,0.09871668311944717,0.09871668311944717,0.09871668311944717
2007,3110,0.06430868167202572,0.06430868167202572,0.06430868167202572,0.06430868167202572,0.06430868167202572,0.06430868167202572,0.06430868167202572,0.06430868167202572,0.06430868167202572,0,0.03215434083601286
2008,3387,0.20667257159728372,0.20667257159728372,0.20667257159728372,0.20667257159728372,0.20667257159728372,0.20667257159728372,0.20667257159728372,0.20667257159728372,0.20667257159728372,0.20667257159728372,0.20667257159728372
2009,3525,0.28368794326241137,0.28368794326241137,0.28368794326241137,0.28368794326241137,0.28368794326241137,0.28368794326241137,0.28368794326241137,0.28368794326241137,0.28368794326241137,0.2553191489361702,0.28368794326241137
2010,3522,0.4826802952867689,0.4826802952867689,0.4826802952867689,0.4826802952867689,0.4826802952867689,0.4826802952867689,0.4826802952867689,0.4826802952867689,0.4826802952867689,0.34071550255536626,0.3975014196479273
2011,3457,0.6653167486259763,0.6653167486259763,0.6653167486259763,0.6653167486259763,0.6653167486259763,0.6653167486259763,0.6653167486259763,0.6363899334683252,0.6653167486259763,0.5785363031530228,0.607463118310674
2012,3657,0.8203445447087777,0.7929997265518185,0.8203445447087777,0.7929997265518185,0.8203445447087777,0.7383100902378998,0.8203445447087777,0.7656549083948592,0.8203445447087777,0.6015859994531036,0.7656549083948592
2013,4004,1.2987012987012987,1.2987012987012987,1.2987012987012987,1.2987012987012987,1.2987012987012987,1.2737262737262738,1.2737262737262738,1.2737262737262738,1.2737262737262738,1.123876123876124,1.1488511488511488
2014,4344,2.9005524861878453,2.8775322283609577,2.9005524861878453,2.8775322283609577,2.9005524861878453,2.8314917127071824,2.8775322283609577,2.8314917127071824,2.9005524861878453,2.186924493554328,2.6933701657458564
2015,4433,4.714640198511166,4.669524024362734,4.69208211143695,4.669524024362734,4.69208211143695,4.556733588991654,4.69208211143695,4.601849763140086,4.69208211143695,3.4965034965034967,4.083013760433115
2016,4419,7.875084860828243,7.85245530663046,7.875084860828243,7.85245530663046,7.875084860828243,7.580900656257071,7.8071961982348945,7.648789318850419,7.8298257524326775,6.4267933921701745,6.834125367730255
2017,4533,16.324729759541142,16.30266931392014,16.324729759541142,16.324729759541142,16.324729759541142,16.14824619457313,16.25854842267814,16.12618574895213,16.25854842267814,13.655415839399957,14.758438120450032
2018,4707,49.35202889313788,49.1395793499044,49.26704907584449,49.1395793499044,49.26704907584449,48.311026131293815,48.92712980667092,48.43849585723391,49.05459953261101,40.40790312300829,43.807095814743995
2019,4719,85.20873066327613,85.0392032210214,85.1451578724306,85.0392032210214,85.1451578724306,83.78893833439288,84.5094299639754,83.97965670692943,84.63657554566646,71.28628946810765,75.46090273363001
2020,4595,85.52774755168662,85.33188248095756,85.39717083786724,85.35364526659413,85.41893362350382,84.11316648531012,84.98367791077258,84.39608269858542,85.09249183895538,71.42546245919478,75.32100108813928
2021,5010,86.0878243512974,85.96806387225548,85.9880239520958,85.9880239520958,86.00798403193612,84.99001996007985,85.52894211576846,85.06986027944112,85.70858283433134,71.8562874251497,75.06986027944112
2022,5075,86.08866995073892,85.99014778325123,86.00985221674877,85.99014778325123,86.00985221674877,85.14285714285714,85.67487684729063,85.04433497536947,85.67487684729063,72.78817733990148,76.21674876847291
2023,5703,87.25232333859371,87.2347887076977,87.25232333859371,87.2347887076977,87.25232333859371,86.53340347185691,86.91916535156935,86.67368051902507,87.07697702963353,74.2065579519551,77.45046466771875
2024,5955,88.07724601175482,88.04366078925273,88.07724601175482,88.04366078925273,88.07724601175482,87.18723761544919,87.69101595298069,87.2879932829555,87.77497900923593,74.84466834592779,78.11922753988244
2025,6060,89.32343234323432,89.3069306930693,89.32343234323432,89.3069306930693,89.32343234323432,88.58085808580857,89.02640264026402,88.54785478547855,88.97689768976898,76.79867986798679,79.53795379537954
