listing_year,n,pct_first_stat,pct_bili_candidate,pct_bili_first_stat,pct_bili_any_stat,pct_bili_current_final,pct_bili_best_possible,pct_sodium_candidate,pct_sodium_first_stat,pct_sodium_any_stat,pct_sodium_current_final,pct_sodium_best_possible,pct_bnp_first_stat,pct_bnp_any_stat,pct_bnp_best_possible
2005,2827,50.725150336045274,0,2.157764414573753,3.8556773965334274,2.157764414573753,3.8556773965334274,0,2.157764414573753,3.8556773965334274,2.157764414573753,3.8556773965334274,1.2380615493455962,2.3346303501945527,2.3346303501945527
2006,3039,50.08226390259954,0,2.270483711747285,3.7841395195788086,2.270483711747285,3.7841395195788086,0,2.270483711747285,3.7841395195788086,2.270483711747285,3.7841395195788086,1.4807502467917077,2.4021059559065483,2.4021059559065483
2007,3110,56.72025723472669,0,3.247588424437299,4.372990353697749,3.247588424437299,4.372990353697749,0,3.247588424437299,4.372990353697749,3.247588424437299,4.372990353697749,2.2186495176848875,2.9581993569131835,2.9581993569131835
2008,3387,59.07883082373782,0,2.8048420431059937,4.930617065249483,2.8048420431059937,4.930617065249483,0,2.8048420431059937,4.930617065249483,2.8048420431059937,4.930617065249483,1.9486271036315321,3.3953351048125184,3.3953351048125184
2009,3525,62.24113475177305,0,2.6950354609929077,4.680851063829787,2.6950354609929077,4.680851063829787,0,2.6950354609929077,4.680851063829787,2.6950354609929077,4.680851063829787,2.0141843971631204,3.375886524822695,3.375886524822695
2010,3522,62.74843838727996,0,2.9812606473594547,5.565019875070982,2.9812606473594547,5.565019875070982,0,2.9812606473594547,5.565019875070982,2.9812606473594547,5.565019875070982,1.9591141396933562,4.088586030664395,4.088586030664395
2011,3457,65.31674862597629,0,3.6158518947063927,6.277118889210298,3.6158518947063927,6.277118889210298,0,3.6158518947063927,6.277118889210298,3.6158518947063927,6.277118889210298,2.5166329187156493,4.7150708706971365,4.7150708706971365
2012,3657,69.23707957342083,0,3.7735849056603774,6.343997812414548,3.7735849056603774,6.343997812414548,0,3.7735849056603774,6.343997812414548,3.7735849056603774,6.343997812414548,2.5977577249111294,4.484550177741318,4.484550177741318
2013,4004,71.12887112887113,0,4.020979020979021,7.167832167832168,4.020979020979021,7.167832167832168,0,4.020979020979021,7.167832167832168,4.020979020979021,7.167832167832168,3.071928071928072,5.269730269730269,5.269730269730269
2014,4344,69.77440147329649,0,3.683241252302026,5.939226519337017,3.683241252302026,5.939226519337017,0,3.683241252302026,5.939226519337017,3.683241252302026,5.939226519337017,2.923572744014733,4.696132596685083,4.696132596685083
2015,4433,69.8849537559215,0,3.834874802616738,6.20347394540943,3.834874802616738,6.20347394540943,0,3.834874802616738,6.20347394540943,3.834874802616738,6.20347394540943,3.113016016241823,5.030453417550191,5.030453417550191
2016,4419,67.23240552161123,0,3.960171984611903,6.223127404390134,3.960171984611903,6.223127404390134,0,3.960171984611903,6.223127404390134,3.960171984611903,6.223127404390134,3.3039149128762166,5.114279248698801,5.114279248698801
2017,4533,65.38716082064859,0,4.213545113611295,6.088682991396426,4.213545113611295,6.088682991396426,0,4.213545113611295,6.088682991396426,4.213545113611295,6.088682991396426,3.507610853739246,5.162144275314361,5.162144275314361
2018,4707,49.521988527724666,0,3.4629275547057574,4.546420225196516,3.4629275547057574,4.546420225196516,0,3.4629275547057574,4.546420225196516,3.4629275547057574,4.546420225196516,2.6343743360951777,3.4629275547057574,3.4629275547057574
2019,4719,12.036448400084764,0,0.04238186056367875,0.04238186056367875,0.04238186056367875,0.04238186056367875,0,0.04238186056367875,0.04238186056367875,0.04238186056367875,0.04238186056367875,0.021190930281839375,0.021190930281839375,0.021190930281839375
2020,4595,11.795429815016321,0,0.02176278563656148,0.02176278563656148,0.02176278563656148,0.02176278563656148,0,0.02176278563656148,0.02176278563656148,0.02176278563656148,0.02176278563656148,0.02176278563656148,0.02176278563656148,0.02176278563656148
2021,5010,11.097804391217565,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,5075,11.073891625615763,0,0.019704433497536946,0.019704433497536946,0.019704433497536946,0.019704433497536946,0,0.019704433497536946,0.019704433497536946,0.019704433497536946,0.019704433497536946,0.019704433497536946,0.019704433497536946,0.019704433497536946
2023,5703,10.450640014027705,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,5955,9.874055415617129,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,6060,8.3993399339934,0,0,0,0,0,0,0,0,0,0,0,0,0
