zip,waitlist_candidates,waitlist_episodes,count_bin
00001,4,5,<50
00007,1,1,<50
00009,28,29,<50
00018,1,1,<50
00068,1,1,<50
00078,1,1,<50
00079,1,1,<50
00082,1,2,<50
00092,2,2,<50
00098,1,1,<50
00180,1,1,<50
00229,1,1,<50
00238,1,1,<50
00243,4,4,<50
00260,1,1,<50
00276,1,1,<50
00285,1,1,<50
00301,2,2,<50
00334,1,1,<50
00407,1,1,<50
00600,2,2,<50
00601,16,17,<50
00602,81,89,50-99
00603,71,76,50-99
00604,4,4,<50
00605,19,21,<50
00606,8,8,<50
00607,1,1,<50
00608,1,1,<50
00610,56,63,50-99
00611,2,2,<50
00612,71,76,50-99
00613,13,13,<50
00614,6,7,<50
00616,14,14,<50
00617,28,28,<50
00618,1,1,<50
00622,12,12,<50
00623,65,73,50-99
00624,30,31,<50
00625,1,1,<50
00627,38,38,<50
00628,2,2,<50
00629,1,1,<50
00631,1,1,<50
00632,2,2,<50
00633,1,1,<50
00637,39,41,<50
00638,28,30,<50
00640,2,2,<50
00641,37,38,<50
00646,43,44,<50
00647,5,5,<50
00650,14,14,<50
00652,6,7,<50
00653,9,10,<50
00656,27,30,<50
00658,1,1,<50
00659,50,52,50-99
00660,26,26,<50
00662,63,63,50-99
00664,17,17,<50
00667,32,33,<50
00669,43,43,<50
00670,9,10,<50
00673,1,1,<50
00674,54,56,50-99
00675,1,1,<50
00676,60,67,50-99
00677,22,23,<50
00678,36,38,<50
00679,8,9,<50
00680,96,104,50-99
00681,26,27,<50
00682,23,24,<50
00683,42,46,<50
00685,78,84,50-99
00687,43,43,<50
00688,20,21,<50
00690,11,11,<50
00691,1,1,<50
00692,43,45,<50
00693,65,67,50-99
00694,18,18,<50
00698,64,72,50-99
00703,43,43,<50
00704,8,9,<50
00705,47,47,<50
00707,18,18,<50
00712,1,1,<50
00714,12,12,<50
00715,5,6,<50
00716,45,45,<50
00717,26,26,<50
00718,22,23,<50
00719,46,46,<50
00720,26,26,<50
00721,2,2,<50
00723,21,21,<50
00725,134,135,100-249
00726,24,25,<50
00727,39,39,<50
00728,51,54,50-99
00729,77,81,50-99
00730,41,42,<50
00731,25,27,<50
00732,11,12,<50
00733,10,10,<50
00734,2,2,<50
00735,20,20,<50
00736,62,66,50-99
00737,22,23,<50
00738,53,55,50-99
00739,57,59,50-99
00740,4,4,<50
00741,9,9,<50
00744,5,5,<50
00745,94,97,50-99
00751,29,30,<50
00754,55,58,50-99
00757,33,36,<50
00764,1,1,<50
00765,10,11,<50
00766,28,31,<50
00767,49,50,<50
00769,55,59,50-99
00771,53,54,50-99
00772,17,17,<50
00773,21,21,<50
00775,2,2,<50
00776,1,1,<50
00777,61,63,50-99
00778,50,53,50-99
00780,19,21,<50
00782,14,15,<50
00783,54,57,50-99
00784,47,48,<50
00785,12,12,<50
00786,1,1,<50
00787,1,1,<50
00791,55,60,50-99
00792,11,11,<50
00793,1,1,<50
00794,51,55,50-99
00795,47,52,<50
00797,1,1,<50
00798,2,2,<50
00801,20,20,<50
00802,35,37,<50
00803,17,18,<50
00804,9,9,<50
00805,3,3,<50
00820,10,10,<50
00821,4,4,<50
00822,3,3,<50
00823,9,9,<50
00824,4,4,<50
00830,2,3,<50
00831,5,5,<50
00840,9,9,<50
00841,11,11,<50
00850,2,2,<50
00851,21,22,<50
00861,1,1,<50
00865,1,1,<50
00901,4,4,<50
00902,7,7,<50
00903,1,1,<50
00907,14,16,<50
00908,5,5,<50
