center_code,organ,n_candidates,organ_label,center_type,optn_region,center_name,city,state,zip,country,lon,lat,location_source
INLH,KI,702,Kidney,TX1,10,Lutheran Hospital of Fort Wayne,Fort Wayne,IN,46804,USA,-85.23703860380802,41.0539375,zip_zcta
INSV,HR,678,Heart,TX1,10,Ascension St. Vincent Hospital,Indianapolis,IN,46260,USA,-86.17977040374686,39.8939315,zip_zcta
INSV,KI,1929,Kidney,TX1,10,Ascension St. Vincent Hospital,Indianapolis,IN,46260,USA,-86.17977040374686,39.8939315,zip_zcta
KSFW,HR,34,Heart,TX1,8,"Via Christi Hospitals Wichita, Inc.",Wichita,KS,67214,USA,-97.31870194208574,37.707759,zip_zcta
KSFW,KI,290,Kidney,TX1,8,"Via Christi Hospitals Wichita, Inc.",Wichita,KS,67214,USA,-97.31870194208574,37.707759,zip_zcta
KSUK,HR,317,Heart,TX1,8,University of Kansas Hospital,Kansas City,KS,66160,USA,-94.60956748537362,39.05636022641145,zip_zcta
KSUK,KI,3474,Kidney,TX1,8,University of Kansas Hospital,Kansas City,KS,66160,USA,-94.60956748537362,39.05636022641145,zip_zcta
KSUK,LI,2093,Liver,TX1,8,University of Kansas Hospital,Kansas City,KS,66160,USA,-94.60956748537362,39.05636022641145,zip_zcta
KYJH,HR,420,Heart,TX1,11,Jewish Hospital,Louisville,KY,40202,USA,-85.74976488955842,38.252613499999995,zip_zcta
KYJH,KI,2366,Kidney,TX1,11,Jewish Hospital,Louisville,KY,40202,USA,-85.74976488955842,38.252613499999995,zip_zcta
KYJH,LI,868,Liver,TX1,11,Jewish Hospital,Louisville,KY,40202,USA,-85.74976488955842,38.252613499999995,zip_zcta
KYJH,LU,316,Lung,TX1,11,Jewish Hospital,Louisville,KY,40202,USA,-85.74976488955842,38.252613499999995,zip_zcta
KYKC,HR,81,Heart,TX1,11,Norton Children's Hospital,Louisville,KY,40202,USA,-85.74976488955842,38.252613499999995,zip_zcta
KYKC,KI,58,Kidney,TX1,11,Norton Children's Hospital,Louisville,KY,40202,USA,-85.74976488955842,38.252613499999995,zip_zcta
KYUK,HR,494,Heart,TX1,11,University of Kentucky Medical Center,Lexington,KY,40536,USA,-84.50785551881332,38.029042,zip_zcta
KYUK,KI,3533,Kidney,TX1,11,University of Kentucky Medical Center,Lexington,KY,40536,USA,-84.50785551881332,38.029042,zip_zcta
