center_code,organ,n_candidates,organ_label,center_type,optn_region,center_name,city,state,zip,country,lon,lat,location_source
CASD,LU,614,Lung,TX1,5,University of California San Diego Medical Center,La Jolla,CA,92037,USA,-117.24196672721442,32.8659337966823,zip_zcta
CASF,HR,532,Heart,TX1,5,University of California San Francisco Medical Center,San Francisco,CA,94143,USA,-122.45,37.77,city_state
CASF,KI,17683,Kidney,TX1,5,University of California San Francisco Medical Center,San Francisco,CA,94143,USA,-122.45,37.77,city_state
CASF,LI,5370,Liver,TX1,5,University of California San Francisco Medical Center,San Francisco,CA,94143,USA,-122.45,37.77,city_state
CASF,LU,1146,Lung,TX1,5,University of California San Francisco Medical Center,San Francisco,CA,94143,USA,-122.45,37.77,city_state
CASG,HR,252,Heart,TX1,5,Sutter Medical Center Sacramento,Sacramento,CA,95816,USA,-121.46580783530226,38.574493,zip_zcta
CASG,KI,553,Kidney,TX1,5,Sutter Medical Center Sacramento,Sacramento,CA,95816,USA,-121.46580783530226,38.574493,zip_zcta
CASH,HR,335,Heart,TX1,5,Sharp Memorial Hospital,San Diego,CA,92123,USA,-117.13224871300054,32.818476000000004,zip_zcta
CASH,KI,2793,Kidney,TX1,5,Sharp Memorial Hospital,San Diego,CA,92123,USA,-117.13224871300054,32.818476000000004,zip_zcta
CASJ,KI,1416,Kidney,TX1,5,Saint Joseph Hospital,Orange,CA,92868,USA,-117.87729596838511,33.7883745,zip_zcta
CASM,KI,9242,Kidney,TX1,5,University of California Davis Medical Center,Sacramento,CA,95817,USA,-121.45072054308133,38.5519995,zip_zcta
CASM,LI,161,Liver,TX1,5,University of California Davis Medical Center,Sacramento,CA,95817,USA,-121.45072054308133,38.5519995,zip_zcta
CASU,HR,1318,Heart,TX1,5,Stanford Health Care,Stanford,CA,94305,USA,-122.1721084159768,37.4172885,zip_zcta
CASU,KI,6410,Kidney,TX1,5,Stanford Health Care,Stanford,CA,94305,USA,-122.1721084159768,37.4172885,zip_zcta
CASU,LI,3067,Liver,TX1,5,Stanford Health Care,Stanford,CA,94305,USA,-122.1721084159768,37.4172885,zip_zcta
CASU,LU,1004,Lung,TX1,5,Stanford Health Care,Stanford,CA,94305,USA,-122.1721084159768,37.4172885,zip_zcta
CASV,HR,3,Heart,TX1,5,St. Vincent Medical Center,Los Angeles,CA,90057,USA,-118.27523473658775,34.0623815,zip_zcta
CASV,KI,1473,Kidney,TX1,5,St. Vincent Medical Center,Los Angeles,CA,90057,USA,-118.27523473658775,34.0623815,zip_zcta
CASV,LI,27,Liver,TX1,5,St. Vincent Medical Center,Los Angeles,CA,90057,USA,-118.27523473658775,34.0623815,zip_zcta
CAUC,HR,1472,Heart,TX1,5,University of California at Los Angeles Medical Center,Los Angeles,CA,90095,USA,-118.44376423203995,34.070403,zip_zcta
CAUC,KI,11675,Kidney,TX1,5,University of California at Los Angeles Medical Center,Los Angeles,CA,90095,USA,-118.44376423203995,34.070403,zip_zcta
CAUC,LI,6723,Liver,TX1,5,University of California at Los Angeles Medical Center,Los Angeles,CA,90095,USA,-118.44376423203995,34.070403,zip_zcta
CAUC,LU,1594,Lung,TX1,5,University of California at Los Angeles Medical Center,Los Angeles,CA,90095,USA,-118.44376423203995,34.070403,zip_zcta
CAUH,HR,534,Heart,TX1,5,Keck Hospital of USC,Los Angeles,CA,90033,USA,-118.21318717965369,34.049943999999996,zip_zcta
CAUH,KI,5916,Kidney,TX1,5,Keck Hospital of USC,Los Angeles,CA,90033,USA,-118.21318717965369,34.049943999999996,zip_zcta
CAUH,LI,3298,Liver,TX1,5,Keck Hospital of USC,Los Angeles,CA,90033,USA,-118.21318717965369,34.049943999999996,zip_zcta
CAUH,LU,544,Lung,TX1,5,Keck Hospital of USC,Los Angeles,CA,90033,USA,-118.21318717965369,34.049943999999996,zip_zcta
CAWM,KI,102,Kidney,TX1,5,Western Medical Center,Santa Ana,CA,92705,USA,-117.7954989137695,33.763419999999996,zip_zcta
