zip_id,zip
1,15301
2,15658
3,15601
4,17720
5,18843
6,30114
7,30281
8,31044
9,31419
10,30137
11,30184
12,31519
13,30427
14,30824
15,89421
16,48225
17,08072
18,07821
19,08820
20,63556
21,63456
22,98563
23,64083
24,65667
25,65041
26,59010
27,59432
28,59316
29,59812
30,37705
31,38464
32,37327
33,37064
34,38501
35,37385
36,37185
37,37847
38,37032
39,28560
40,62663
41,60091
42,40014
43,41701
44,40828
45,40330
46,41041
47,42256
48,41314
49,42160
50,42323
51,53516
52,54868
53,54806
54,54634
55,53934
56,44615
57,45205
58,50477
59,52056
60,52252
61,50478
62,55923
63,55003
64,55962
65,64137
66,58481
69,07311
70,08863
71,85936
72,85324
73,85329
74,32780
75,33980
76,46617
77,47601
78,47306
79,46173
80,46738
81,24558
82,24483
83,23917
84,23185
85,16238
86,16101
87,15211
88,97479
89,16054
90,39305
91,39153
92,38863
93,38703
94,38858
95,38611
96,38848
97,39747
98,72396
99,72651
100,71647
101,74365
102,71467
103,70040
104,71032
105,70113
106,70443
107,71234
108,88434
109,10037
110,78840
111,75751
112,76437
113,75941
114,76470
115,76082
116,77484
117,78076
118,77859
119,75482
120,24589
121,23513
122,36051
123,35126
124,26508
125,26378
126,25541
127,26866
128,25063
130,77316
131,92040
132,96001
133,90211
134,90814
135,92866
136,65254
137,95369
138,96091
139,93546
140,95605
141,93461
142,94019
143,78387
144,77954
145,01585
146,49258
147,48202
148,48456
149,66040
150,66419
151,82630
152,82225
153,25565
154,90265
155,25962
156,25045
157,25043
158,24986
159,25514
160,08006
161,03101
162,68440
163,68531
164,69210
165,68183
166,77448
167,11414
168,95431
169,50608
170,29349
171,29710
172,29944
173,35085
174,08056
175,58831
176,71071
177,04758
178,04260
179,04294
180,04570
181,04740
182,21622
183,78661
184,35580
185,36029
186,36432
187,72530
188,72087
189,84063
190,84530
191,84761
192,84037
193,84713
194,19383
195,17034
196,17508
197,15745
199,15348
200,18065
201,56628
202,32008
203,32681
204,31029
205,61051
206,93285
207,96076
208,95327
209,95454
210,29424
211,57780
212,14810
213,14058
214,44481
215,45209
216,41180
217,57021
218,52036
219,51637
220,76692
221,20646
222,21136
223,01741
224,74522
225,97639
226,97536
227,97462
228,97380
229,87419
230,71772
231,44232
232,80503
233,80512
234,81323
235,31329
236,11970
237,30912
238,31771
239,10505
240,54531
241,54931
242,15952
243,06232
244,06090
245,81152
246,32331
247,11579
248,66112
249,28645
250,28562
251,27332
252,27983
253,28164
254,27301
255,27707
256,27886
257,25112
258,82729
259,82712
260,15434
261,21869
262,27411
263,54926
264,74866
265,97326
266,78881
267,03581
268,79846
269,45841
270,65278
271,64432
272,06450
273,06753
274,52312
275,49880
276,61955
277,42729
278,43717
279,76654
280,83301
281,83226
282,83622
283,83861
284,73567
285,73842
286,68182
287,66961
288,19943
289,32328
290,20418
291,35036
292,84537
293,27412
294,77426
295,79517
296,04088
297,97640
298,07880
299,16140
300,26815
301,17880
302,17606
303,15346
304,01033
305,52307
306,39086
307,13747
308,28318
309,45677
310,74946
311,50227
312,85911
313,31825
314,84762
315,04781
316,23147
317,07014
318,81331
319,03043
320,16550
321,40357
322,80293
323,44630
324,76909
325,04267
326,30070
327,15691
328,14856
329,45501
330,25305
331,30332
332,74082
333,97346
334,05904
335,77843
336,36564
337,11556
338,61424
339,04353
340,82922
341,19735
342,37232
343,97432
344,83525
345,43553
346,74943
347,54127
348,35573
349,54637
350,29425
351,15705
352,16684
353,17504
354,99014
355,50593
356,98609
357,30414
358,28362
359,95675
360,46624
361,43007
362,16601
363,17740
364,15557
365,16749
366,16335
367,16701
368,16914
369,19082
370,30540
371,30175
372,30734
373,30107
374,30445
375,31639
376,31096
377,30223
378,48374
379,48309
380,07628
381,07440
382,07086
383,59068
384,63435
385,65653
386,64656
387,98014
388,59825
389,59086
390,59046
391,59528
392,37072
393,37664
394,57702
395,57772
396,62801
397,62305
398,27889
399,27565
400,60924
401,45769
402,40403
403,42431
404,42164
405,40511
406,40004
407,40056
408,41064
409,40143
410,42025
411,45122
412,42602
413,53538
414,53105
415,54525
416,45806
417,44107
418,43926
419,50455
420,50440
421,50311
422,56044
423,56630
424,55051
425,56058
426,64477
427,58472
428,58004
429,58581
430,86046
431,86031
432,33612
433,33830
434,32610
435,32091
436,33967
437,32909
438,46167
439,47112
440,24315
441,22842
442,23832
443,23803
444,24088
445,22572
446,97338
447,16125
448,97527
449,16151
450,18431
451,39350
452,39483
453,39211
454,39180
455,39338
456,72015
457,72556
458,72832
459,72459
460,74457
461,74048
462,73736
463,73628
464,71342
465,88007
466,87305
467,87499
468,11548
469,87825
470,75462
471,77021
472,78046
473,77378
474,78393
475,79079
476,76905
477,78653
478,75766
479,76065
480,23870
481,23842
482,35957
483,35007
484,26264
485,25301
486,25126
488,77554
489,92544
490,95206
491,95041
492,95472
493,95963
494,92273
495,96078
496,13440
497,10473
498,92283
499,75554
500,75661
501,75803
502,76502
503,01570
504,49663
505,01608
506,67202
507,54850
508,82930
509,98237
510,95053
511,10036
512,03447
513,69141
514,68785
515,76104
516,85922
517,90089
518,95246
519,50026
520,29620
521,29016
522,07927
523,04236
524,04864
525,98362
526,83422
527,62824
528,78622
529,35179
530,36582
531,36108
532,35541
533,48039
534,49862
535,17077
536,19436
537,17979
538,17576
539,19095
541,87830
542,87573
544,15034
545,39482
546,32361
547,62231
548,60458
549,38260
550,35961
551,36024
552,35072
553,95514
554,38618
555,11355
556,14201
557,11697
558,40078
559,40507
560,42533
561,57007
562,21005
563,02717
564,20851
565,97760
566,97868
567,35466
568,22722
569,36775
570,24570
571,72829
572,81623
573,81137
574,80433
575,30606
576,30346
577,30090
578,53583
579,52774
580,15031
581,06067
582,06066
