zip_id,zip,x,y
1,15301,-80.2380910434621,40.162529
2,15658,-79.2022825942385,40.2573305
3,15601,-79.5235159968619,40.332517
4,17720,-77.2048311096979,41.1793205
5,18843,-75.8943717756184,41.803221
6,30114,-84.5351020404914,34.253846
7,30281,-84.2159351344912,33.5550735
8,31044,-83.3687257700309,32.6379525
9,31419,-81.2493239115022,31.9874625
10,30137,-84.7658655911202,34.1173575
11,30184,-84.7105411494673,34.2564175
12,31519,-82.8596668078328,31.685638
13,30427,-81.9622474811981,31.896701
14,30824,-82.510722064424,33.4990535
15,89421,-117.914913780051,42.0334515
16,48225,-82.9330797624815,42.436053
17,08072,-75.4079766927828,39.5446415
18,07821,-74.7332615356545,40.968889
19,08820,-74.3616718936453,40.5762245
20,63556,-93.1576477337238,40.191318
21,63456,-91.697185894162,39.6684915
22,98563,-123.581482372586,47.182722
23,64083,-94.4497390058673,38.7953865
24,65667,-92.540888426347,37.316375
25,65041,-91.4805857601754,38.64706
26,59010,-107.319516970105,46.0117815
27,59432,-112.582448234726,48.1449075
28,59316,-105.012681977981,45.334968
29,59812,-113.984916942862,46.8613925
30,37705,-83.9964982265625,36.2318845
31,38464,-87.4256303756765,35.282838
32,37327,-85.396071964256,35.4260105
33,37064,-86.9761135007276,35.8845665
34,38501,-85.5462593829346,36.243717
35,37385,-84.2103014123838,35.340303
36,37185,-87.8048048584502,36.030409
37,37847,-84.2896525840054,36.428324
38,37032,-86.9906821142308,36.538308
39,28560,-76.951682912853,35.1453482414623
40,62663,-90.3278617186352,39.541532
41,60091,-87.7229001413204,42.0770737110286
42,40014,-85.4346256486845,38.346399
43,41701,-83.0811538274643,37.3090955
44,40828,-83.1523600058533,36.8828805
45,40330,-84.8595341840696,37.796942
46,41041,-83.6913913407037,38.40191
47,42256,-86.9882676730949,37.0014675
48,41314,-83.6457648354099,37.4412315
49,42160,-86.0954144853276,37.125945
50,42323,-87.0292782573732,37.177445
51,53516,-89.8849098270211,42.793013
52,54868,-91.7148418670477,45.531349
53,54806,-90.9026347985732,46.5662945
54,54634,-90.411780489144,43.5880505
55,53934,-89.8951678221688,43.965021
56,44615,-81.0547209903944,40.575847
57,45205,-84.5785065090097,39.1116145
58,50477,-93.3312188151264,42.98823
59,52056,-91.0754113247287,42.6031665
60,52252,-91.221282777857,42.201542
61,50478,-93.7647497765803,43.4045295
