year,month,rows,zips,missing_values,zonal_mean_values,nearest_fill_values,mean,p01,p50,p99,output
2020,6,33300,33300,0,32281,1019,2.63588964119326,1.11764579826791,2.20246431643784,8.95465482694768,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2020_06.csv.gz
2020,7,33300,33300,0,32281,1019,2.63508963163153,1.08485054319483,2.14700766861296,9.06157673358919,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2020_07.csv.gz
2020,8,33300,33300,0,32281,1019,2.53489646469164,1.0634673068685,1.96046638507101,9.66945662498475,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2020_08.csv.gz
2020,9,33300,33300,0,32281,1019,2.47740161290442,1.03999207925923,1.83478008033133,9.85083307743074,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2020_09.csv.gz
2020,10,33300,33300,0,32281,1019,3.0802220839276,1.12005611973006,2.36012894809246,12.0716415003368,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2020_10.csv.gz
2020,11,33300,33300,0,32281,1019,3.67239937399583,1.19636854542327,2.91546908334077,13.6155508776645,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2020_11.csv.gz
2020,12,33300,33300,0,32281,1019,3.83067523809607,1.02717790461409,3.18860095278433,13.8809379076958,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2020_12.csv.gz
2021,1,33300,33300,0,32281,1019,3.71071810242927,1.0268390841995,3.07504142349767,13.2569390309978,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2021_01.csv.gz
2021,2,33300,33300,0,32281,1019,3.70827951461517,1.02815184062654,2.88435963404376,14.4723849498061,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2021_02.csv.gz
2021,3,33300,33300,0,32281,1019,3.27125731227733,1.09955107958112,2.49085172254401,12.4574071669579,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2021_03.csv.gz
2021,4,33300,33300,0,32281,1019,2.8098586193885,0.976978338991895,2.09964285643652,11.8266388988495,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2021_04.csv.gz
2021,5,33300,33300,0,32281,1019,2.60658766488439,0.986768807431024,2.04973564428442,10.1331175286429,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2021_05.csv.gz
2021,6,33300,33300,0,32281,1019,2.67750234130282,1.11254308031984,2.14511230011787,9.77046559878761,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2021_06.csv.gz
2021,7,33300,33300,0,32281,1019,2.56506429810856,1.01664826639237,2.04245728894054,9.59438191175461,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2021_07.csv.gz
2021,8,33300,33300,0,32281,1019,2.61969718460699,1.08069757317351,1.98905314547675,10.3712651046117,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2021_08.csv.gz
2021,9,33300,33300,0,32281,1019,2.67260294854684,1.1093545693984,2.06951515926791,10.0004142978317,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2021_09.csv.gz
2021,10,33300,33300,0,32281,1019,3.32392926673665,1.16751279058711,2.62891090793997,12.3834915161133,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2021_10.csv.gz
2021,11,33300,33300,0,32281,1019,3.93474493857081,1.23917908618764,3.19262765691831,13.6516826558114,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2021_11.csv.gz
2021,12,33300,33300,0,32281,1019,3.85166017578908,1.04569092156058,3.16149240214963,14.1328363418579,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2021_12.csv.gz
2022,1,33300,33300,0,32281,1019,3.92002509025017,1.02488627323182,3.08019231365194,14.508071582742,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2022_01.csv.gz
2022,2,33300,33300,0,32281,1019,3.78584381646394,1.02543509232309,3.02535207297814,13.6490287465316,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2022_02.csv.gz
2022,3,33300,33300,0,32281,1019,3.46271568587642,1.04881146481941,2.65989515816225,13.359716632843,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2022_03.csv.gz
2022,4,33300,33300,0,32281,1019,2.72726082788039,1.03022238828716,2.09821477649079,10.5027359994253,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2022_04.csv.gz
2022,5,33300,33300,0,32281,1019,2.64895615147298,1.05176899705975,2.12583482161812,9.94413552474976,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2022_05.csv.gz
2022,6,33300,33300,0,32281,1019,2.74466692725464,1.09261798433393,2.24325592427608,9.7807470264435,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2022_06.csv.gz
2022,7,33300,33300,0,32281,1019,2.67332443072554,1.06654702567491,2.17903237468518,9.60266760059994,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2022_07.csv.gz
2022,8,33300,33300,0,32281,1019,2.61660776071529,1.06260603767734,2.03603107173238,9.90176542472841,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2022_08.csv.gz
2022,9,33300,33300,0,32281,1019,2.7713839695033,1.14032456582255,2.12822619935323,10.2740183591843,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2022_09.csv.gz
2022,10,33300,33300,0,32281,1019,3.45958805158695,1.27610492293972,2.63829163019772,13.0259237548283,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2022_10.csv.gz
2022,11,33300,33300,0,32281,1019,3.8752320970824,1.14449485195903,3.15696835078521,13.3079423401091,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2022_11.csv.gz
2022,12,33300,33300,0,32281,1019,3.71815850243323,1.03629151663237,2.97546181248478,13.9629710102082,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2022_12.csv.gz
2023,1,33300,33300,0,32281,1019,3.21899384976161,1.00300541763513,2.5094112456552,12.8693517971039,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2023_01.csv.gz
2023,2,33300,33300,0,32281,1019,3.50814015298705,1.01289297897507,2.88011693780739,12.9719829780271,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2023_02.csv.gz
2023,3,33300,33300,0,32281,1019,2.96941252440756,1.01317627308023,2.22361488124837,11.5291223526001,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2023_03.csv.gz
2023,4,33300,33300,0,32281,1019,3.01561995361903,1.03440073480244,2.33264813073551,11.6433124542236,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/processed/no2_zcta_monthly/no2_zcta_monthly_2023_04.csv.gz
