year,file,path,rows,expected_rows,zips,months,first_month,last_month,missing_values,mean_no2_ppbv,size_bytes,size_mb,sha256
2019,no2_zcta_monthly_2019.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/no2_zcta_monthly_parquet/no2_zcta_monthly_2019.parquet,399600,399600,33300,12,1,12,0,3.1572896490649454,4100110,3.9,49d563ea49029f598c01844408fbd5bbd2d476c3768ecb259636238045f2d3eb
2020,no2_zcta_monthly_2020.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/no2_zcta_monthly_parquet/no2_zcta_monthly_2020.parquet,399600,399600,33300,12,1,12,0,3.022558901116194,4096416,3.9,78b59adeeee78cb2c9626c61a669ad6cb8ab897c80608f7a39446f837e0b38ab
2021,no2_zcta_monthly_2021.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/no2_zcta_monthly_parquet/no2_zcta_monthly_2021.parquet,399600,399600,33300,12,1,12,0,3.1459918639380344,4093876,3.9,2db155c9b5b786106aac51c19c7d87006a2d3451ad65b76df37c7e0b8cce2f8a
2022,no2_zcta_monthly_2022.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/no2_zcta_monthly_parquet/no2_zcta_monthly_2022.parquet,399600,399600,33300,12,1,12,0,3.200313609270437,4094180,3.9,e03afec6204e2062248415bf3554a94f83467d0adedc10cf2a59e0eb0b6c5d33
2023,no2_zcta_monthly_2023.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/no2_zcta_monthly_parquet/no2_zcta_monthly_2023.parquet,399600,399600,33300,12,1,12,0,3.071954180919205,4095544,3.9,adfcf3ee5524e91960d553198cf79549cb29b0ed353b1a3be6deb5b025e4e9fb
2024,no2_zcta_monthly_2024.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/no2_zcta_monthly_parquet/no2_zcta_monthly_2024.parquet,399600,399600,33300,12,1,12,0,3.023975859053716,4095795,3.9,7622e48e0b4d82ae3e861b37ad222baf918ea7585ea6b36365ab6035b55c2569
2025,no2_zcta_monthly_2025.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/no2_zcta_monthly_parquet/no2_zcta_monthly_2025.parquet,399600,399600,33300,12,1,12,0,3.056784209875267,4094339,3.9,a50e396b64fc2e8a24cc118e98978da793afbfe65bc5ac34a56bb78887cb18e9
