organ,exposure,status,started_at,finished_at,elapsed_seconds,n,adverse_events,competing_events,expanded_rows,error
HR,pm25,started,2026-06-07 12:53:56.150002,NA,NA,42201,4419,31485,NA,NA
HR,pm25,completed,2026-06-07 12:53:56.150002,2026-06-07 12:56:48.725291,172.44,42201,4419,31485,25360923,NA
KI,pm25,started,2026-06-07 12:56:50.630958,NA,NA,343981,37357,147941,NA,NA
KI,pm25,error,2026-06-07 12:56:50.630958,2026-06-07 13:02:46.802199,355.98999999999995,343981,37357,147941,317457537,cannot allocate vector of size 42.6 Gb
LI,pm25,started,2026-06-07 13:02:52.905574,NA,NA,116573,17821,80439,NA,NA
LI,pm25,completed,2026-06-07 13:02:52.905574,2026-06-07 13:17:01.086801,847.56,116573,17821,80439,115442197,NA
LU,pm25,started,2026-06-07 13:17:08.89078,NA,NA,26649,2424,22150,NA,NA
LU,pm25,completed,2026-06-07 13:17:08.89078,2026-06-07 13:18:05.498381,55.97000000000003,26649,2424,22150,9802070,NA
HR,o3,started,2026-06-07 13:18:08.385747,NA,NA,42201,4419,31485,NA,NA
HR,o3,completed,2026-06-07 13:18:08.385747,2026-06-07 13:20:34.726743,145.72000000000003,42201,4419,31485,25360923,NA
KI,o3,started,2026-06-07 13:20:38.372711,NA,NA,343981,37357,147941,NA,NA
KI,o3,error,2026-06-07 13:20:38.372711,2026-06-07 13:53:34.921,1975.9199999999998,343981,37357,147941,317457537,cannot allocate vector of size 42.6 Gb
LI,o3,started,2026-06-07 13:53:38.104894,NA,NA,116573,17821,80439,NA,NA
LI,o3,completed,2026-06-07 13:53:38.104894,2026-06-07 14:09:43.93044,965.1800000000003,116573,17821,80439,115442197,NA
LU,o3,started,2026-06-07 14:10:02.041643,NA,NA,26649,2424,22150,NA,NA
LU,o3,completed,2026-06-07 14:10:02.041643,2026-06-07 14:10:58.643703,55.089999999999236,26649,2424,22150,9802070,NA
HR,no2,started,2026-06-07 14:11:01.519786,NA,NA,53788,5304,41031,NA,NA
HR,no2,completed,2026-06-07 14:11:01.519786,2026-06-07 14:14:55.543026,233.25,53788,5304,41031,37676706,NA
KI,no2,started,2026-06-07 14:15:00.630721,NA,NA,397047,52409,208986,NA,NA
KI,no2,error,2026-06-07 14:15:00.630721,2026-06-07 14:25:26.477766,625.0799999999999,397047,52409,208986,533665756,cannot allocate vector of size 83.5 Gb
LI,no2,started,2026-06-07 14:25:33.744703,NA,NA,146930,21305,106417,NA,NA
LI,no2,error,2026-06-07 14:25:33.744703,2026-06-07 14:42:55.646038,1040.8399999999992,146930,21305,106417,165514207,object is too large (18446744065832086368 bytes)
LU,no2,started,2026-06-07 14:43:13.191598,NA,NA,34120,2765,29002,NA,NA
LU,no2,completed,2026-06-07 14:43:13.191598,2026-06-07 14:44:36.996855,82.72000000000025,34120,2765,29002,13628726,NA
