analysis,organ,pollutant,n,people,events,hazard_ratio,conf_low,conf_high,p_value
recent_2020_2022_3yr_cause_specific,HR,pm25,13336,13336,1083,0.874704198229739,0.6718704389634268,1.138772284104583,0.31996072879997395
recent_2020_2022_3yr_cause_specific,HR,no2,13336,13336,1083,0.7335807205642584,0.5249956385239156,1.0250383700265009,0.06951133974209334
recent_2020_2022_3yr_cause_specific,HR,o3,13336,13336,1083,0.814808870374982,0.623366791024107,1.065044697281731,0.13392781082337482
recent_2020_2022_3yr_cause_specific,KI,pm25,93355,93355,10937,0.9751506505061084,0.9087087076834167,1.0464506206908444,0.48461779977117037
recent_2020_2022_3yr_cause_specific,KI,no2,93355,93355,10937,0.8604051442588752,0.7717415806952215,0.9592550547817327,0.0067354126746199524
recent_2020_2022_3yr_cause_specific,KI,o3,93355,93355,10937,1.0496138270113016,0.9726937989232435,1.1326166436681955,0.2124023512524713
recent_2020_2022_3yr_cause_specific,LI,pm25,36056,36056,5146,1.016552485572549,0.9274032482045583,1.11427144332774,0.7259104885954255
recent_2020_2022_3yr_cause_specific,LI,no2,36056,36056,5146,0.9155723158595027,0.7982368681314067,1.0501552847723585,0.20746153784598603
recent_2020_2022_3yr_cause_specific,LI,o3,36056,36056,5146,1.0161007341171389,0.9210196673044398,1.1209974537189904,0.7499973383291296
recent_2020_2022_3yr_cause_specific,LU,pm25,8238,8238,660,0.9099674571480534,0.6701190624555929,1.2356621673083155,0.5455834476920793
recent_2020_2022_3yr_cause_specific,LU,no2,8238,8238,660,0.7832953855785939,0.5337930364113885,1.1494186308490177,0.21193357690982847
recent_2020_2022_3yr_cause_specific,LU,o3,8238,8238,660,0.8968701031732956,0.6679449650175047,1.2042548774134374,0.46914034905973173
