Analysis,Model tier,Model type,Organ,Pollutant,N candidates,Adverse events,HR (95% CI),P value,Adjustment set
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Heart,Prior-year O3 per 10 ppb,74028,10010,1.01 (0.94-1.09),0.712,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Heart,Prior-year NO2 per 10 ppb,79381,10242,1.27 (1.22-1.32),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Heart,Prior-year PM2.5 per 5 ug/m3,74028,10010,1.25 (1.18-1.33),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Heart,Prior-year NO2 per 10 ppb,74028,10010,1.14 (1.09-1.20),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Heart,Prior-year PM2.5 per 5 ug/m3,74028,10010,1.24 (1.16-1.32),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Heart,Prior-year NO2 per 10 ppb,74028,10010,1.16 (1.10-1.22),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Heart,Prior-year O3 per 10 ppb,74028,10010,1.06 (0.98-1.14),0.122,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant PM2.5,Kidney,Prior-year PM2.5 per 5 ug/m3,564725,123423,0.87 (0.86-0.88),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant O3,Kidney,Prior-year O3 per 10 ppb,564725,123423,0.99 (0.98-1.00),0.212,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant NO2,Kidney,Prior-year NO2 per 10 ppb,600708,124065,0.85 (0.85-0.86),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2,Kidney,Prior-year PM2.5 per 5 ug/m3,564725,123423,0.93 (0.92-0.94),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2,Kidney,Prior-year NO2 per 10 ppb,564725,123423,0.88 (0.87-0.88),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,Kidney,Prior-year PM2.5 per 5 ug/m3,564725,123423,0.95 (0.94-0.97),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,Kidney,Prior-year NO2 per 10 ppb,564725,123423,0.86 (0.85-0.87),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,Kidney,Prior-year O3 per 10 ppb,564725,123423,0.94 (0.93-0.96),<.001,None
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Kidney,Prior-year PM2.5 per 5 ug/m3,564179,123299,0.93 (0.92-0.94),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Kidney,Prior-year O3 per 10 ppb,564179,123299,1.05 (1.03-1.07),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Kidney,Prior-year NO2 per 10 ppb,600141,123941,0.90 (0.89-0.91),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Kidney,Prior-year PM2.5 per 5 ug/m3,564179,123299,0.99 (0.97-1.01),0.233,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Kidney,Prior-year NO2 per 10 ppb,564179,123299,0.91 (0.90-0.92),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Kidney,Prior-year PM2.5 per 5 ug/m3,564179,123299,0.99 (0.97-1.01),0.236,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Kidney,Prior-year NO2 per 10 ppb,564179,123299,0.91 (0.89-0.92),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Kidney,Prior-year O3 per 10 ppb,564179,123299,1.00 (0.98-1.02),0.874,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Kidney,Prior-year PM2.5 per 5 ug/m3,564179,123299,0.90 (0.88-0.91),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant O3,Kidney,Prior-year O3 per 10 ppb,564179,123299,1.04 (1.02-1.06),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Kidney,Prior-year NO2 per 10 ppb,600141,123941,0.89 (0.88-0.90),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
