Analysis,Model tier,Model type,Organ,Term,Term type,Exposure label,N candidates,Adverse events,Coefficient (95% CI),HR (95% CI),P value,Adjustment set
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Heart,age,covariate,,74028,10010,0.0059 (0.0044 to 0.0073),1.01 (1.00-1.01),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Heart,sexM,covariate,,74028,10010,-0.0235 (-0.0690 to 0.0220),0.98 (0.93-1.02),0.312,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Heart,raceBLACK,covariate,,74028,10010,-0.1243 (-0.2559 to 0.0073),0.88 (0.77-1.01),0.064,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Heart,raceMULTI,covariate,,74028,10010,-0.0976 (-0.3644 to 0.1693),0.91 (0.69-1.18),0.474,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Heart,raceMissing,covariate,,74028,10010,-0.1257 (-0.7318 to 0.4804),0.88 (0.48-1.62),0.684,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Heart,raceNATIVE,covariate,,74028,10010,0.1613 (-0.1474 to 0.4701),1.18 (0.86-1.60),0.306,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Heart,racePACIFIC,covariate,,74028,10010,0.0932 (-0.3138 to 0.5001),1.10 (0.73-1.65),0.654,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Heart,raceWHITE,covariate,,74028,10010,-0.0796 (-0.2052 to 0.0460),0.92 (0.81-1.05),0.214,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Heart,zcta_svi_proxy,covariate,,74028,10010,0.1566 (0.0410 to 0.2723),1.17 (1.04-1.31),0.008,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Heart,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,79381,10242,0.1615 (0.1220 to 0.2010),1.18 (1.13-1.22),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Heart,age,covariate,,79381,10242,0.0063 (0.0049 to 0.0077),1.01 (1.00-1.01),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Heart,sexM,covariate,,79381,10242,-0.0229 (-0.0678 to 0.0221),0.98 (0.93-1.02),0.319,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Heart,raceBLACK,covariate,,79381,10242,-0.1431 (-0.2715 to -0.0146),0.87 (0.76-0.99),0.029,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Heart,raceMULTI,covariate,,79381,10242,-0.1089 (-0.3714 to 0.1535),0.90 (0.69-1.17),0.416,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Heart,raceMissing,covariate,,79381,10242,-0.0838 (-0.5766 to 0.4090),0.92 (0.56-1.51),0.739,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Heart,raceNATIVE,covariate,,79381,10242,0.2094 (-0.0885 to 0.5072),1.23 (0.92-1.66),0.168,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Heart,racePACIFIC,covariate,,79381,10242,0.0771 (-0.3213 to 0.4755),1.08 (0.73-1.61),0.704,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Heart,raceWHITE,covariate,,79381,10242,-0.0824 (-0.2049 to 0.0402),0.92 (0.81-1.04),0.188,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Heart,zcta_svi_proxy,covariate,,79381,10242,0.0623 (-0.0532 to 0.1777),1.06 (0.95-1.19),0.291,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Heart,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,74028,10010,0.1751 (0.1140 to 0.2363),1.19 (1.12-1.27),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Heart,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,74028,10010,0.0805 (0.0331 to 0.1279),1.08 (1.03-1.14),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Heart,age,covariate,,74028,10010,0.0062 (0.0048 to 0.0076),1.01 (1.00-1.01),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Heart,sexM,covariate,,74028,10010,-0.0234 (-0.0689 to 0.0221),0.98 (0.93-1.02),0.314,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Heart,raceBLACK,covariate,,74028,10010,-0.1155 (-0.2471 to 0.0161),0.89 (0.78-1.02),0.085,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Heart,raceMULTI,covariate,,74028,10010,-0.0780 (-0.3449 to 0.1889),0.92 (0.71-1.21),0.567,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Heart,raceMissing,covariate,,74028,10010,-0.0456 (-0.6520 to 0.5608),0.96 (0.52-1.75),0.883,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Heart,raceNATIVE,covariate,,74028,10010,0.2139 (-0.0950 to 0.5228),1.24 (0.91-1.69),0.175,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Heart,racePACIFIC,covariate,,74028,10010,0.1048 (-0.3022 to 0.5119),1.11 (0.74-1.67),0.614,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Heart,raceWHITE,covariate,,74028,10010,-0.0646 (-0.1903 to 0.0611),0.94 (0.83-1.06),0.314,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Heart,zcta_svi_proxy,covariate,,74028,10010,0.0790 (-0.0375 to 0.1955),1.08 (0.96-1.22),0.184,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Heart,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,74028,10010,0.1724 (0.1093 to 0.2355),1.19 (1.12-1.27),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Heart,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,74028,10010,0.0835 (0.0331 to 0.1340),1.09 (1.03-1.14),0.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Heart,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,74028,10010,0.0129 (-0.0607 to 0.0864),1.01 (0.94-1.09),0.732,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Heart,age,covariate,,74028,10010,0.0062 (0.0048 to 0.0076),1.01 (1.00-1.01),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Heart,sexM,covariate,,74028,10010,-0.0234 (-0.0689 to 0.0221),0.98 (0.93-1.02),0.314,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Heart,raceBLACK,covariate,,74028,10010,-0.1161 (-0.2478 to 0.0155),0.89 (0.78-1.02),0.084,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Heart,raceMULTI,covariate,,74028,10010,-0.0785 (-0.3454 to 0.1884),0.92 (0.71-1.21),0.564,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Heart,raceMissing,covariate,,74028,10010,-0.0468 (-0.6533 to 0.5597),0.95 (0.52-1.75),0.880,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Heart,raceNATIVE,covariate,,74028,10010,0.2125 (-0.0965 to 0.5215),1.24 (0.91-1.68),0.178,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Heart,racePACIFIC,covariate,,74028,10010,0.1053 (-0.3018 to 0.5123),1.11 (0.74-1.67),0.612,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Heart,raceWHITE,covariate,,74028,10010,-0.0654 (-0.1912 to 0.0603),0.94 (0.83-1.06),0.308,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Heart,zcta_svi_proxy,covariate,,74028,10010,0.0807 (-0.0362 to 0.1976),1.08 (0.96-1.22),0.176,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Heart,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,74028,10010,0.3130 (0.2613 to 0.3646),1.37 (1.30-1.44),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
