Analysis,Model tier,Model type,Organ,Term,Term type,Exposure label,N candidates,Adverse events,Coefficient (95% CI),HR (95% CI),P value,Adjustment set
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Heart,raceWHITE,covariate,,79381,10242,-0.0546 (-0.1771 to 0.0679),0.95 (0.84-1.07),0.382,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Heart,zcta_svi_proxy,covariate,,79381,10242,0.0300 (-0.0855 to 0.1456),1.03 (0.92-1.16),0.611,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant NO2,Heart,organ_score,organ_severity,,79381,10242,0.1852 (0.1685 to 0.2018),1.20 (1.18-1.22),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Heart,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,74028,10010,0.2253 (0.1642 to 0.2864),1.25 (1.18-1.33),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Heart,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,74028,10010,0.1312 (0.0837 to 0.1787),1.14 (1.09-1.20),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Heart,age,covariate,,74028,10010,0.0033 (0.0018 to 0.0048),1.00 (1.00-1.00),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Heart,sexM,covariate,,74028,10010,-0.0133 (-0.0588 to 0.0322),0.99 (0.94-1.03),0.567,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Heart,raceBLACK,covariate,,74028,10010,-0.1329 (-0.2645 to -0.0013),0.88 (0.77-1.00),0.048,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Heart,raceMULTI,covariate,,74028,10010,-0.0504 (-0.3173 to 0.2164),0.95 (0.73-1.24),0.711,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Heart,raceMissing,covariate,,74028,10010,-0.0626 (-0.6690 to 0.5438),0.94 (0.51-1.72),0.840,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Heart,raceNATIVE,covariate,,74028,10010,0.2574 (-0.0513 to 0.5661),1.29 (0.95-1.76),0.102,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Heart,racePACIFIC,covariate,,74028,10010,0.0887 (-0.3188 to 0.4962),1.09 (0.73-1.64),0.670,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Heart,raceWHITE,covariate,,74028,10010,-0.0410 (-0.1666 to 0.0847),0.96 (0.85-1.09),0.523,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Heart,zcta_svi_proxy,covariate,,74028,10010,0.0493 (-0.0673 to 0.1659),1.05 (0.93-1.18),0.408,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2,Heart,organ_score,organ_severity,,74028,10010,0.1831 (0.1661 to 0.2002),1.20 (1.18-1.22),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Heart,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,74028,10010,0.2133 (0.1504 to 0.2762),1.24 (1.16-1.32),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Heart,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,74028,10010,0.1450 (0.0944 to 0.1956),1.16 (1.10-1.22),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Heart,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,74028,10010,0.0582 (-0.0155 to 0.1319),1.06 (0.98-1.14),0.122,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Heart,age,covariate,,74028,10010,0.0033 (0.0018 to 0.0048),1.00 (1.00-1.00),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Heart,sexM,covariate,,74028,10010,-0.0132 (-0.0587 to 0.0323),0.99 (0.94-1.03),0.570,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Heart,raceBLACK,covariate,,74028,10010,-0.1359 (-0.2676 to -0.0043),0.87 (0.77-1.00),0.043,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Heart,raceMULTI,covariate,,74028,10010,-0.0526 (-0.3195 to 0.2142),0.95 (0.73-1.24),0.699,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Heart,raceMissing,covariate,,74028,10010,-0.0679 (-0.6743 to 0.5385),0.93 (0.51-1.71),0.826,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Heart,raceNATIVE,covariate,,74028,10010,0.2510 (-0.0578 to 0.5599),1.29 (0.94-1.75),0.111,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Heart,racePACIFIC,covariate,,74028,10010,0.0897 (-0.3178 to 0.4971),1.09 (0.73-1.64),0.666,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Heart,raceWHITE,covariate,,74028,10010,-0.0447 (-0.1704 to 0.0810),0.96 (0.84-1.08),0.486,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Heart,zcta_svi_proxy,covariate,,74028,10010,0.0566 (-0.0604 to 0.1736),1.06 (0.94-1.19),0.343,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Multipollutant PM2.5 + NO2 + O3,Heart,organ_score,organ_severity,,74028,10010,0.1840 (0.1669 to 0.2011),1.20 (1.18-1.22),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + organ_score
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant PM2.5,Kidney,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,564725,123423,-0.1439 (-0.1543 to -0.1334),0.87 (0.86-0.88),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant O3,Kidney,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,564725,123423,-0.0072 (-0.0186 to 0.0041),0.99 (0.98-1.00),0.212,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Single-pollutant NO2,Kidney,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,600708,124065,-0.1582 (-0.1666 to -0.1497),0.85 (0.85-0.86),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2,Kidney,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,564725,123423,-0.0688 (-0.0805 to -0.0571),0.93 (0.92-0.94),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2,Kidney,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,564725,123423,-0.1326 (-0.1421 to -0.1232),0.88 (0.87-0.88),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,Kidney,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,564725,123423,-0.0468 (-0.0595 to -0.0341),0.95 (0.94-0.97),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,Kidney,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,564725,123423,-0.1524 (-0.1629 to -0.1420),0.86 (0.85-0.87),<.001,None
Initial-listing prior-year cause-specific Cox,Unadjusted,Multipollutant PM2.5 + NO2 + O3,Kidney,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,564725,123423,-0.0580 (-0.0713 to -0.0448),0.94 (0.93-0.96),<.001,None
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Kidney,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,564179,123299,-0.0735 (-0.0875 to -0.0595),0.93 (0.92-0.94),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Kidney,age,covariate,,564179,123299,0.0485 (0.0480 to 0.0490),1.05 (1.05-1.05),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Kidney,sexM,covariate,,564179,123299,0.0715 (0.0599 to 0.0832),1.07 (1.06-1.09),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Kidney,raceBLACK,covariate,,564179,123299,0.0913 (0.0651 to 0.1176),1.10 (1.07-1.12),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Kidney,raceMULTI,covariate,,564179,123299,0.1557 (0.0697 to 0.2417),1.17 (1.07-1.27),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Kidney,raceMissing,covariate,,564179,123299,0.3508 (-0.0277 to 0.7293),1.42 (0.97-2.07),0.069,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Kidney,raceNATIVE,covariate,,564179,123299,0.3385 (0.2782 to 0.3988),1.40 (1.32-1.49),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Kidney,racePACIFIC,covariate,,564179,123299,0.2998 (0.2113 to 0.3883),1.35 (1.24-1.47),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Kidney,raceWHITE,covariate,,564179,123299,0.2284 (0.2043 to 0.2524),1.26 (1.23-1.29),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant PM2.5,Kidney,zcta_svi_proxy,covariate,,564179,123299,0.3327 (0.2999 to 0.3656),1.39 (1.35-1.44),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Kidney,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,564179,123299,0.0493 (0.0327 to 0.0659),1.05 (1.03-1.07),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Kidney,age,covariate,,564179,123299,0.0487 (0.0482 to 0.0492),1.05 (1.05-1.05),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Kidney,sexM,covariate,,564179,123299,0.0722 (0.0605 to 0.0839),1.07 (1.06-1.09),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Kidney,raceBLACK,covariate,,564179,123299,0.0871 (0.0609 to 0.1134),1.09 (1.06-1.12),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Kidney,raceMULTI,covariate,,564179,123299,0.1586 (0.0726 to 0.2446),1.17 (1.08-1.28),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Kidney,raceMissing,covariate,,564179,123299,0.3560 (-0.0225 to 0.7345),1.43 (0.98-2.08),0.065,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Kidney,raceNATIVE,covariate,,564179,123299,0.3398 (0.2795 to 0.4002),1.40 (1.32-1.49),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Kidney,racePACIFIC,covariate,,564179,123299,0.3048 (0.2163 to 0.3933),1.36 (1.24-1.48),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Kidney,raceWHITE,covariate,,564179,123299,0.2215 (0.1973 to 0.2456),1.25 (1.22-1.28),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant O3,Kidney,zcta_svi_proxy,covariate,,564179,123299,0.3191 (0.2864 to 0.3518),1.38 (1.33-1.42),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Kidney,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,600141,123941,-0.1004 (-0.1114 to -0.0893),0.90 (0.89-0.91),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Kidney,age,covariate,,600141,123941,0.0484 (0.0478 to 0.0489),1.05 (1.05-1.05),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Kidney,sexM,covariate,,600141,123941,0.0704 (0.0588 to 0.0821),1.07 (1.06-1.09),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Kidney,raceBLACK,covariate,,600141,123941,0.0876 (0.0614 to 0.1138),1.09 (1.06-1.12),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Kidney,raceMULTI,covariate,,600141,123941,0.1380 (0.0522 to 0.2238),1.15 (1.05-1.25),0.002,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Kidney,raceMissing,covariate,,600141,123941,0.3491 (0.0253 to 0.6729),1.42 (1.03-1.96),0.035,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Kidney,raceNATIVE,covariate,,600141,123941,0.3050 (0.2446 to 0.3654),1.36 (1.28-1.44),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Kidney,racePACIFIC,covariate,,600141,123941,0.2933 (0.2048 to 0.3818),1.34 (1.23-1.46),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Kidney,raceWHITE,covariate,,600141,123941,0.2133 (0.1892 to 0.2373),1.24 (1.21-1.27),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Single-pollutant NO2,Kidney,zcta_svi_proxy,covariate,,600141,123941,0.3778 (0.3444 to 0.4112),1.46 (1.41-1.51),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Kidney,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,564179,123299,-0.0099 (-0.0261 to 0.0063),0.99 (0.97-1.01),0.233,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Kidney,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,564179,123299,-0.0972 (-0.1101 to -0.0843),0.91 (0.90-0.92),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Kidney,age,covariate,,564179,123299,0.0484 (0.0479 to 0.0490),1.05 (1.05-1.05),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Kidney,sexM,covariate,,564179,123299,0.0712 (0.0595 to 0.0829),1.07 (1.06-1.09),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Kidney,raceBLACK,covariate,,564179,123299,0.0870 (0.0607 to 0.1132),1.09 (1.06-1.12),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Kidney,raceMULTI,covariate,,564179,123299,0.1416 (0.0556 to 0.2276),1.15 (1.06-1.26),0.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Kidney,raceMissing,covariate,,564179,123299,0.3131 (-0.0654 to 0.6917),1.37 (0.94-2.00),0.105,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Kidney,raceNATIVE,covariate,,564179,123299,0.3030 (0.2425 to 0.3635),1.35 (1.27-1.44),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Kidney,racePACIFIC,covariate,,564179,123299,0.2987 (0.2102 to 0.3872),1.35 (1.23-1.47),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Kidney,raceWHITE,covariate,,564179,123299,0.2127 (0.1886 to 0.2369),1.24 (1.21-1.27),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2,Kidney,zcta_svi_proxy,covariate,,564179,123299,0.3790 (0.3456 to 0.4125),1.46 (1.41-1.51),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Kidney,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,564179,123299,-0.0103 (-0.0273 to 0.0067),0.99 (0.97-1.01),0.236,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Kidney,no2_prior_10ppb,pollutant,Prior-year NO2 per 10 ppb,564179,123299,-0.0967 (-0.1110 to -0.0824),0.91 (0.89-0.92),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Kidney,o3_prior_10ppb,pollutant,Prior-year O3 per 10 ppb,564179,123299,0.0015 (-0.0170 to 0.0200),1.00 (0.98-1.02),0.874,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Kidney,age,covariate,,564179,123299,0.0484 (0.0479 to 0.0490),1.05 (1.05-1.05),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Kidney,sexM,covariate,,564179,123299,0.0712 (0.0595 to 0.0829),1.07 (1.06-1.09),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Kidney,raceBLACK,covariate,,564179,123299,0.0869 (0.0606 to 0.1132),1.09 (1.06-1.12),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Kidney,raceMULTI,covariate,,564179,123299,0.1415 (0.0555 to 0.2275),1.15 (1.06-1.26),0.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Kidney,raceMissing,covariate,,564179,123299,0.3130 (-0.0656 to 0.6915),1.37 (0.94-2.00),0.105,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Kidney,raceNATIVE,covariate,,564179,123299,0.3028 (0.2423 to 0.3634),1.35 (1.27-1.44),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Kidney,racePACIFIC,covariate,,564179,123299,0.2988 (0.2103 to 0.3873),1.35 (1.23-1.47),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Kidney,raceWHITE,covariate,,564179,123299,0.2126 (0.1884 to 0.2368),1.24 (1.21-1.27),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH,Multipollutant PM2.5 + NO2 + O3,Kidney,zcta_svi_proxy,covariate,,564179,123299,0.3791 (0.3456 to 0.4126),1.46 (1.41-1.51),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center)
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Kidney,pm25_prior_5ug,pollutant,Prior-year PM2.5 per 5 ug/m3,564179,123299,-0.1092 (-0.1233 to -0.0951),0.90 (0.88-0.91),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Kidney,age,covariate,,564179,123299,0.0461 (0.0455 to 0.0466),1.05 (1.05-1.05),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Kidney,sexM,covariate,,564179,123299,0.0128 (0.0011 to 0.0246),1.01 (1.00-1.02),0.032,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Kidney,raceBLACK,covariate,,564179,123299,0.0234 (-0.0029 to 0.0498),1.02 (1.00-1.05),0.081,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Kidney,raceMULTI,covariate,,564179,123299,0.1159 (0.0298 to 0.2019),1.12 (1.03-1.22),0.008,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Kidney,raceMissing,covariate,,564179,123299,0.4419 (0.0633 to 0.8204),1.56 (1.07-2.27),0.022,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Kidney,raceNATIVE,covariate,,564179,123299,0.1720 (0.1113 to 0.2327),1.19 (1.12-1.26),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Kidney,racePACIFIC,covariate,,564179,123299,0.1533 (0.0647 to 0.2418),1.17 (1.07-1.27),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
Initial-listing prior-year cause-specific Cox,Adjusted + SDOH + organ score at listing,Single-pollutant PM2.5,Kidney,raceWHITE,covariate,,564179,123299,0.2666 (0.2425 to 0.2907),1.31 (1.27-1.34),<.001,age + sex + race + zcta_svi_proxy + strata(listing_center) + kidney_no_dialysis_time + kidney_dialysis_years + kidney_diabetes
