year,file,path,rows,expected_rows,zips,dates,first_date,last_date,missing_values,mean_o3_ppb,size_bytes,size_mb,sha256
2005,o3_zcta_daily_2005.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/o3_zcta_daily_parquet/o3_zcta_daily_2005.parquet,12154500,12154500,33300,365,2005-01-01,2005-12-31,0,40.23012207865746,86845056,82.8,41f3a38cb40312d8dc98ee037db901ce53473a2a464303895327da4ef87ef274
2006,o3_zcta_daily_2006.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/o3_zcta_daily_parquet/o3_zcta_daily_2006.parquet,12154500,12154500,33300,365,2006-01-01,2006-12-31,0,40.22601355862912,86633914,82.6,67d069df97bfd5717ce756237af1508f01058f0510fbf61dfc4860b1c556d8b1
2007,o3_zcta_daily_2007.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/o3_zcta_daily_parquet/o3_zcta_daily_2007.parquet,12154500,12154500,33300,365,2007-01-01,2007-12-31,0,40.140297432387634,86678119,82.7,2d6a135cb5404af81ce53030c9814866265555e3e9e956dd6a5ac9c03c12e178
2008,o3_zcta_daily_2008.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/o3_zcta_daily_parquet/o3_zcta_daily_2008.parquet,12187800,12187800,33300,366,2008-01-01,2008-12-31,0,39.183746904570036,86612552,82.6,34eb1b8adbf27429b3467895d13304312783525340d7ec8098d87f2f6b4462e5
2009,o3_zcta_daily_2009.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/o3_zcta_daily_parquet/o3_zcta_daily_2009.parquet,12154500,12154500,33300,365,2009-01-01,2009-12-31,0,37.47460658790747,86203294,82.2,394845c82c75c6d07c7be586faa878138baa5b5ffb4227b274ad22f9e190c2ad
2010,o3_zcta_daily_2010.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/o3_zcta_daily_parquet/o3_zcta_daily_2010.parquet,12154500,12154500,33300,365,2010-01-01,2010-12-31,0,40.20292073852133,86299453,82.3,081a72348692df19a3860af91c9267c32e2a075e483f90b13109f5c4d08de8a4
2011,o3_zcta_daily_2011.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/o3_zcta_daily_parquet/o3_zcta_daily_2011.parquet,12154500,12154500,33300,365,2011-01-01,2011-12-31,0,39.77452386681319,86323792,82.3,05165fad439be0eecdacac99dc3a09302202571db6625794e9d747f20c852408
2012,o3_zcta_daily_2012.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/o3_zcta_daily_parquet/o3_zcta_daily_2012.parquet,12187800,12187800,33300,366,2012-01-01,2012-12-31,0,40.17051640050639,86600722,82.6,7b0e48a179f9636b7dba95a818ac34f836c38053568f0f054edfb84edcaa3159
2013,o3_zcta_daily_2013.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/o3_zcta_daily_parquet/o3_zcta_daily_2013.parquet,12154500,12154500,33300,365,2013-01-01,2013-12-31,0,38.24996636801941,86073568,82.1,53201cdd7c9a1730c0e5b40773226a34b48bfd961fd556c4d3d52bea9024a0d6
2014,o3_zcta_daily_2014.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/o3_zcta_daily_parquet/o3_zcta_daily_2014.parquet,12154500,12154500,33300,365,2014-01-01,2014-12-31,0,38.308772127585414,85872172,81.9,080d5ca95a7f2f538c6104f7657d20518a8d263df7103c5c1741ad39ad346f59
2015,o3_zcta_daily_2015.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/o3_zcta_daily_parquet/o3_zcta_daily_2015.parquet,12154500,12154500,33300,365,2015-01-01,2015-12-31,0,38.07343503546649,86154997,82.2,eaee19c24e449cd8e1e711d5f886f612f33434c3bd6fc911b361a4daf0dd24ab
2016,o3_zcta_daily_2016.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/o3_zcta_daily_parquet/o3_zcta_daily_2016.parquet,12187800,12187800,33300,366,2016-01-01,2016-12-31,0,38.44120759368434,86195950,82.2,4c7c505f8d66e6fb48edc70b12763ba5446ac35d69c74afd2bdebd4f1884acca
2017,o3_zcta_daily_2017.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/o3_zcta_daily_parquet/o3_zcta_daily_2017.parquet,12154500,12154500,33300,365,2017-01-01,2017-12-31,0,38.53867232617587,86077444,82.1,c1e3a1c9b87766ad3f79f505c0ec4a4ca5fada9d9a0f78e95edc6224eb04af75
2018,o3_zcta_daily_2018.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/o3_zcta_daily_parquet/o3_zcta_daily_2018.parquet,12154500,12154500,33300,365,2018-01-01,2018-12-31,0,37.84972028338427,85853330,81.9,30fdd1b307c328abe98dedaad4d187f5b65021864e35c718dec3dad555b75dde
2019,o3_zcta_daily_2019.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/o3_zcta_daily_parquet/o3_zcta_daily_2019.parquet,12154500,12154500,33300,365,2019-01-01,2019-12-31,0,38.267155542797006,85858702,81.9,f3598b79069eb982d9e0947dd23173ad26ae16da7ae8b29f13eb7bea9cfb3dd8
2020,o3_zcta_daily_2020.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/o3_zcta_daily_parquet/o3_zcta_daily_2020.parquet,12187800,12187800,33300,366,2020-01-01,2020-12-31,0,36.59268071452459,85931162,82,8b5c9fa3de8133ce0412159b169648173c8905f240a3e2c53f44aed8cbdf8994
2021,o3_zcta_daily_2021.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/o3_zcta_daily_parquet/o3_zcta_daily_2021.parquet,12154500,12154500,33300,365,2021-01-01,2021-12-31,0,38.60815291586485,85393497,81.4,67c0de0eea34c3529f4833020cfb12bad0805f706f5046be2e6cd7d23d663b0b
