year,file,path,rows,size_bytes,size_mb,sha256
2005,gridmet_zcta_daily_2005.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/gridmet_zcta_daily_parquet/gridmet_zcta_daily_2005.parquet,12154500,436655954,416.4,956a4a363bfb0328a2d06e684f8571af16f02df07367a72cc9b26c2e364465c1
2006,gridmet_zcta_daily_2006.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/gridmet_zcta_daily_parquet/gridmet_zcta_daily_2006.parquet,12154500,437075594,416.8,653b11a071c9be3b6d0f5d04ca54e93e8e7b10a4200179506d9b5d3b76367965
2007,gridmet_zcta_daily_2007.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/gridmet_zcta_daily_parquet/gridmet_zcta_daily_2007.parquet,12154500,438579824,418.3,21c0b7b48261733d07b16e33731bd1e6788c8214c03f30ae8ea6e2e60d28ca24
2008,gridmet_zcta_daily_2008.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/gridmet_zcta_daily_parquet/gridmet_zcta_daily_2008.parquet,12187800,436173638,416,90f16ee9df104bfde3b9a153bf5d1f866e7dfe7fca4c8ba70eb8a95c3f9ac3a6
2009,gridmet_zcta_daily_2009.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/gridmet_zcta_daily_parquet/gridmet_zcta_daily_2009.parquet,12154500,438244225,417.9,7f361a63b07e6588b6d17567dc0f30726bb40cd4a264195f1642ad95bdcc1ffa
2010,gridmet_zcta_daily_2010.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/gridmet_zcta_daily_parquet/gridmet_zcta_daily_2010.parquet,12154500,441980275,421.5,b5fac2ceb187ee34fb3c5cf6bcba9d84e897bc2dcc9b818ae929452a9095180f
2011,gridmet_zcta_daily_2011.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/gridmet_zcta_daily_parquet/gridmet_zcta_daily_2011.parquet,12154500,440182066,419.8,413791ae7f0eefd625ed15bb5c0a9e16e3bbb5d99677f175ac2b11c7ce013fea
2012,gridmet_zcta_daily_2012.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/gridmet_zcta_daily_parquet/gridmet_zcta_daily_2012.parquet,12187800,437201322,416.9,e786bccb1c2e8e7031f84a2be9d945e4f7de63c3192e9ddf061952a8acce16b9
2013,gridmet_zcta_daily_2013.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/gridmet_zcta_daily_parquet/gridmet_zcta_daily_2013.parquet,12154500,438054878,417.8,fc11959170643d1319939a643833c7d4fb79646d86cecb887ebb2f59d3dc4579
2014,gridmet_zcta_daily_2014.parquet,C:/Users/Peter Graffy/Documents/GitHub/environment_transplant_survival/data/release/gridmet_zcta_daily_parquet/gridmet_zcta_daily_2014.parquet,12154500,443589417,423,c86ecc7fece9316b18367cd569df5ceccf776af24e61459cfd72b906984e638f
