term,estimate
(Intercept),1.49574770056736
pm25_clim_month,0.634317027197377
aod,79.2725765317455
aod2,-14.9478625647283
log1p_aod,-83.9060578016378
factor(month)2,0.00870929366083807
factor(month)3,-0.034513454891304
factor(month)4,0.172907523595707
factor(month)5,-0.716154291777951
factor(month)6,-0.88663171597164
factor(month)7,0.343674950849492
factor(month)8,1.04996488333653
factor(month)9,-0.277521862861402
factor(month)10,1.0005161808149
factor(month)11,1.12764552196201
factor(month)12,1.2196914659978
pm25_clim_month:aod,0.354565282634034
