fold,n,rmse,mae,bias,r2
0,12154500,3.18845012852531,2.14932378322724,-0.00235811637791459,0.317390676164322
1,2430576,3.19150772806967,2.15048888402112,-0.00479597065766878,0.317630634367488
2,2429548,3.19128756410655,2.14974606381072,-0.00547161104258491,0.318440417466564
3,2430408,3.18952611105819,2.14918642500777,0.000493466395102228,0.316209670485912
4,2433416,3.18828958045416,2.14773461389122,-0.00147257090290661,0.317221868595456
5,2430552,3.18166889005531,2.14948689505193,-0.000541127817627024,0.317428316148229
